Statement,Category,Ground_Truth
"AFP: False claim that UN peacekeepers attacked locals in Congo.",Politics,false
"PolitiFact: Claim that electric bills doubled due to clean energy is misleading.",Economy,false
"Reuters: No proof that solar flares disrupt national grids.",Technology,true
"FactCheck.org: Rumor that oil companies pay no taxes is false.",Economy,true
"AFP: Misused stock footage labeled as Amazon rainforest burning today.",Environment,false
"Trump claimed 'Big Beautiful Bill' wouldn’t add to the deficit; it will increase it by $3–4 trillion.",Economy,false
"Trump said GOP bill 'doesn’t change Medicaid'; it actually cuts and changes it.",Health,false
"PolitiFact: Trump praises Elon Musk as DOGE adviser; misleading & false claims included.",Politics,false
"PolitiFact: Trump repeated falsehoods pushing voter ID and paper ballots as needed reforms.",Politics,false
"Reuters: U.S. rejected WHO pandemic treaty amendments that expand WHO authority.",Government,true
"PolitiFact: Claim school closures had no effect on COVID transmission is false.",Health,false
"AFP: Clip from Ukraine war miscaptioned as Gaza footage.",Politics,false
"Reuters: No evidence solar panels explode in heatwaves.",Environment,false
"FactCheck.org: Claim fluoride causes mass hysteria is false.",Health,false
"AFP: Photo misused from Indonesia wildfire shown as Amazon fire.",Environment,false
"PolitiFact: Senators did not set Social Security age to 70.",Politics,false
"Reuters: No proof WHO treaty removes national sovereignty.",Government,true
"FactCheck.org SciCheck: COVID vaccines causing infertility is unsupported.",Health,false
"Reuters: Video from Kenya wrongly used to show US protests.",Politics,false
"AFP: Meme misquotes Pope Francis on climate action urgency.",Environment,false
"PolitiFact: Claim electric cars increase CO₂ emissions is false.",Environment,false
"Reuters: Astronaut did not say the Moon landing was staged.",Science,true
"FactCheck.org: Claim vitamin D cures COVID is false.",Health,false
"AFP: Graphic misrepresents refugee numbers as 'millions dead'.",Politics,false
"PolitiFact: Claim gas prices doubled under Biden is misleading.",Economy,false
"Reuters: Heatwave footage from Spain misused as India heat crisis.",Environment,false
"FactCheck.org: Masks causing CO₂ poisoning is false.",Health,false
"AFP: Old forest fire image miscaptioned as climate protest banner.",Environment,false
"PolitiFact: Claim electric scooters banned in all US cities is false.",Politics,false
"Reuters: Antarctica ice sheet is expanding myth is false.",Environment,false
"FactCheck.org: Rumor coffee causes cancer is false.",Health,true
"AFP: Video donated aid misused to show famine in Somalia.",Politics,false
"PolitiFact: Claim unemployment hit 50% in 2024 is false.",Economy,false
"Reuters: No proof vitamin C prevents cancer.",Health,false
"FactCheck.org SciCheck: Claim 5G causes infertility is false.",Health,false
"AFP: Photo from 2015 misused as Ukraine war footage.",Politics,false
"PolitiFact: Claim minimum wage is now $20 in California is false.",Economy,false
"Reuters: No evidence wildlife relocation causes pandemics.",Environment,false
"FactCheck.org SciCheck: GMO corn causing diabetes is false.",Health,false
"AFP: Image misrepresented as US border crisis footage.",Politics,false
"PolitiFact: Claim school choice defunds public schools is misleading.",Education,false
"Reuters: No evidence bunker funding signals imminent war.",Government,true
"FactCheck.org: Claim wind turbines cause earthquakes is false.",Environment,false
"AFP: Clip of missile strike miscaptioned plane landing.",Politics,false
"PolitiFact: Social Security ‘going bankrupt next year’ claim is false.",Economy,false
"Reuters: No evidence fur bans lead to higher unemployment.",Economy,true
"FactCheck.org SciCheck: Masks reduce lung capacity claim is false.",Health,false
"AFP: UN peacekeeper attack rumor in Congo is false.",Politics,false
"PolitiFact: Clean energy didn’t double electric bills.",Economy,false
"Reuters: No proof solar flares disrupt national grids.",Technology,true
"FactCheck.org: Oil companies paying no taxes rumor is false.",Economy,true
"AFP: Stock footage miscaptioned as Amazon rainforest burning now.",Environment,false
"PolitiFact: Claim COVID school policies had zero transmission effect is false.",Health,false
"Reuters: WHO pandemic treaty doesn’t override sovereignty.",Government,true
"PolitiFact: Trump wrong that gasoline prices collapsed under his watch.",Economy,false
"Reuters: No evidence vitamin D overdose caused mass hospitalizations.",Health,true
"AFP: Video of 'ghost train' miscaptioned as supernatural event.",Culture,false
"PolitiFact: Claim that unemployment is 0% under Trump is false.",Economy,false
"FactCheck.org: Claim masks cause autism is false.",Health,false
"Reuters: No proof 5G caused mass bird deaths.",Environment,true
"AFP: Photo of storm damage used falsely for climate demonstration.",Environment,false
"PolitiFact: Claim that census excludes undocumented immigrants is misleading.",Politics,false
"Reuters: No evidence rainbows warn of hurricanes.",Environment,false
"FactCheck.org: Claim fluoride toothpaste causes cancer is false.",Health,false
"AFP: Video from 2019 misused as 2025 protest footage.",Culture,false
"PolitiFact: Claim that Social Security checks are illegal is false.",Politics,false
"Reuters: No proof LED light causes blindness.",Health,true
"FactCheck.org: Claim wind farms kill all local birds is false.",Environment,false
"AFP: Photo from wildfire misused as climate policy protest background.",Environment,false
"PolitiFact: Claim gas tax repeal dropped state revenue by 100% is false.",Economy,false
"Reuters: No evidence urban gardening causes city temperatures to rise.",Environment,true
"FactCheck.org: Claim autism cured by bleach is false.",Health,false
"AFP: Tornado footage misattributed to new Texas EF rating.",Environment,false
"PolitiFact: Claim school vouchers ban public schools is false.",Education,false
"Reuters: No proof uranium in tap water is widespread.",Health,true
"FactCheck.org: Claim weather balloons are UFO cover-up is false.",Science,false
"AFP: Video of flood games miscaptioned as reservoir overflow footage.",Environment,false
"PolitiFact: Claim prescription drug prices dropped 50% after legislation is misleading.",Health,false
"Reuters: No evidence phone radiation heats eggs.",Health,true
"FactCheck.org: Claim electric magnets prevent COVID infection is false.",Health,false
"AFP: Drone footage mislabeled as Mars colony test.",Technology,false
"PolitiFact: Claim that universal basic income increased taxes massively is false.",Economy,false
"Reuters: No evidence salt lamps cure depression.",Health,true
"FactCheck.org: Claim gluten-free diets prevent autism is false.",Health,false
"AFP: Photo of church collapse miscaptioned as earthquake damage.",Politics,false
"PolitiFact: Claim gun control stopped lone shooters is misleading.",Politics,false
"Reuters: No proof banana skin noise causes deafness.",Health,true
"FactCheck.org: Claim saltwater cures cancer is false.",Health,false
"AFP: Video of fireworks misused as illegal protest footage.",Culture,false
"PolitiFact: Claim meat-free diets solve climate crisis is exaggerated.",Environment,false
"Reuters: No evidence reboil water advisories linked to chicken flu.",Health,true
"FactCheck.org: Claim copper bracelets cure arthritis is false.",Health,false
"AFP: Miscaptioned image shows fake UN climate conference seating.",Environment,false
"PolitiFact: Claim electric bike subsidies bankrupt state budget is false.",Economy,false
"Reuters: No evidence coffee grounds repel mosquitoes.",Health,true
"FactCheck.org: Claim drinking water cures type 1 diabetes is false.",Health,false
"AFP: Video of sandstorm misused as UK flooding footage.",Environment,false
"PolitiFact: Claim removal of mask mandates had no impact on COVID is misleading.",Health,false
"Reuters: No proof candied ginger cures nausea.",Health,true
"FactCheck.org: Claim air fryers cause dioxin emissions is false.",Health,false
"AFP: Misused street protest footage labeled as Capitol riot.",Politics,false
"PolitiFact: Claim that school lunch programs are unconstitutional is false.",Education,false
"Reuters: No evidence silica bead packets cause prion disease.",Health,true
"FactCheck.org: Claim essential oils cure COVID is false.",Health,false
"AFP: Photo of damaged bridge used wrongly for new dam failure",Environment,false
"Reuters: No proof that blue light from screens causes permanent vision loss.",Health,true
"PolitiFact: Claim home-schooling reduces vaccination rates is misleading.",Education,false
"FactCheck.org SciCheck: Claim that EMF from appliances causes cancer is false.",Health,false
"AFP: Video of street festival miscaptioned as refugee welcome protest.",Culture,false
"Reuters: No evidence coconut oil cures Alzheimer's.",Health,true
"PolitiFact: Claim that inflation stopped after stimulus bill is false.",Economy,false
"AFP: Satellite image misattributed to new dam collapse.",Environment,false
"FactCheck.org SciCheck: Claim CBD oil cures cancer is false.",Health,false
"Reuters: No proof solar eclipse increases seismic activity.",Science,true
"PolitiFact: Claim banning plastic bags reduces consumer choice is misleading.",Environment,false
"AFP: Photo from movie scene misused as real disaster.",Culture,false
"FactCheck.org SciCheck: Claim acupuncture prevents stroke is false.",Health,false
"Reuters: No evidence e-cigarette vapor causes popcorn lung in humans.",Health,true
"PolitiFact: Claim that universal basic income increases crime is false.",Politics,false
"AFP: Video of 2018 protest misused as current unrest.",Politics,false
"FactCheck.org SciCheck: Claim that alkaline water treats cancer is false.",Health,false
"Reuters: No evidence disinformation bots swamped last election.",Politics,true
"PolitiFact: Claim that electric vehicle battery fires are common is misleading.",Technology,false
"AFP: Photo of desert used wrongly as flood image.",Environment,false
"FactCheck.org SciCheck: Claim turmeric cures arthritis is false.",Health,false
"Reuters: No proof 5G towers dropped locals’ immune systems.",Health,true
"PolitiFact: Claim city-funded art programs bankrupt municipalities is false.",Economy,false
"AFP: Drone image miscaptioned as war imagery.",Politics,false
"FactCheck.org SciCheck: Claim magnet therapy cures multiple sclerosis is false.",Health,false
"Reuters: No evidence stray voltage in sidewalks causes death.",Health,true
"PolitiFact: Claim that forest thinning prevents all wildfires is misleading.",Environment,false
"AFP: Video from fireworks show misused as protests.",Culture,false
"FactCheck.org SciCheck: Claim aloe vera cures HIV is false.",Health,false
"Reuters: No proof thunderstorm asthma epidemic occurred last year.",Health,true
"PolitiFact: Claim that high-speed rail will raise taxes by 50% is false.",Economy,false
"AFP: Photo of train derailment misused as tsunami damage.",Environment,false
"FactCheck.org SciCheck: Claim vitamin B12 shots boost intelligence is false.",Health,false
"Reuters: No evidence hummingbird deaths were caused by wind turbines.",Environment,true
"PolitiFact: Claim Medicaid expansion reduces veteran care is misleading.",Health,false
"AFP: Video of old car accident misused as recent tunnel crash.",Politics,false
"FactCheck.org SciCheck: Claim bee pollen cures diabetes is false.",Health,false
"Reuters: No proof bite from dog turds transmits disease.",Health,true
"PolitiFact: Claim broadband equity act raises taxes exponentially is false.",Technology,false
"AFP: Photo from rally misused as violent mob scene.",Politics,false
"FactCheck.org SciCheck: Claim crystal healing treats cancer is false.",Health,false
"Reuters: No evidence cellphone use causes brain cancer spike.",Health,true
"PolitiFact: Claim that banning assault weapons reduces crime 100% is misleading.",Politics,false
"AFP: Video of festival labeled as emergency evacuation is false.",Culture,false
"FactCheck.org SciCheck: Claim reiki relieves depression is false.",Health,false
"Reuters: No proof wind farms decreased local property value significantly.",Economy,true
"PolitiFact: Claim that universal free college increases tuition is misleading.",Education,false
"AFP: Photo of playground taken in 2020 misused as new disaster footage.",Environment,false
"FactCheck.org SciCheck: Claim iodine supplements cure thyroid cancer is false.",Health,false
"Reuters: No evidence fluoride in water decreases IQ at community levels.",Health,true
"PolitiFact: Claim federal job guarantee increases unemployment is false.",Economy,false













