label,statement,subjects,neutral_statement
False,In rural Virginia Sen . Warner ran 8-10 points ahead of a traditional Democrat - ahead of Senator Kaine ahead of Governor McAuliffe .,elections,"assistant

In rural Virginia, Senator Warner ran 8-10 points ahead of a traditional Democrat, outperforming Senator Kaine and Governor McAuliffe."
False,I can tell you with certainty (capandtrade)would have a devastating impact on our economy .,"cap-and-trade,climate-change","assistant

The implementation of a cap-and-trade system could have significant economic implications."
True,Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas .,education,"assistant

Florida teachers may face potential pay implications tied to the performance of students who are not in their classes or subject areas."
False,Mitt Romney left Massachusetts $1 billion in debt .,"deficit,job-accomplishments,message-machine-2012,state-budget,state-finances","assistant

Mitt Romney's tenure as Governor of Massachusetts resulted in a state budget deficit of approximately $1 billion."
True,Says Barack Obama promised he would cut the deficit in half but didnt .,federal-budget,"assistant

Barack Obama stated that he aimed to reduce the federal deficit by half."
True,Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two .,nightlife,"assistant

Old City in Philadelphia previously had a high concentration of clubs, with over a dozen establishments."
False,Says Denmarks suicide rate has been about twice as high as the United States over the past five decades .,"economy,foreign-policy,public-health","assistant

Denmark's suicide rate has been approximately twice that of the United States over the past five decades."
False,China has total control just about of North Korea .,"foreign-policy,nuclear","assistant

China has significant influence over North Korea."
False,The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should .,candidates-biography,"assistant

The Clinton Foundation reports that approximately 80 percent of its expenses are allocated to overhead costs, while about 20 percent is directed towards programmatic activities."
False,The U.S. Constitution owes its notion of democracy to the Iroquois Tribes .,"diversity,history","assistant

The U.S. Constitution was influenced by the Iroquois Confederacy's system of government."
True,Since the first of the year 153 businesses at last count had moved out of California to Texas .,economy,"assistant

As of the current year, 153 businesses have relocated from California to Texas."
True,Barack Obama has provided guns to Mexican drug cartels .,"drugs,guns,legal-issues","assistant

The Obama administration's 2009 decision to allow the sale of some U.S. guns to Mexico was part of a larger effort to combat Mexican cartels."
False,Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12000 in campaign contributions from people affiliated with the service .,"campaign-finance,legal-issues,women","assistant

Chris Koster, as attorney general, did not actively pursue a case against a free classified service accused of promoting prostitution, despite receiving over $12,000 in campaign contributions from individuals affiliated with the service."
True,Health care premiums for consumers have doubled since 2001 .,health-care,"assistant

Health care premiums for consumers have increased significantly since 2001."
True,Says Less than half of all states have legal protections on the basis of sexual orientation or gender identity despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average .,"civil-rights,diversity,gays-and-lesbians,jobs,workers","assistant

Less than half of all states have laws that protect individuals from employment discrimination based on sexual orientation or gender identity, despite reports of higher rates of employment discrimination and unemployment among LGBT Americans compared to the national average."
False,Gov . Romney himself with 28 other Republican governors supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever .,welfare,"assistant

Governor Romney and 28 other Republican governors supported policies that would have modified the welfare reform law to potentially extend the time limits for receiving welfare benefits."
False,Under Lt . Gov . Lee Fisher Ohio is 44th in the country in terms of getting money actually into worker retraining .,"economy,government-efficiency,jobs","assistant

Ohio ranks 44th in the country in terms of the effectiveness of its worker retraining programs in utilizing funds."
False,Im well aware that medical marijuana is a recognized medical viable treatment for this sort of [pancreas] pain condition .,"candidates-biography,crime,drugs,health-care,legal-issues,marijuana,public-health","assistant

Medical marijuana is recognized as a potential treatment option for certain types of pancreas pain conditions."
False,Says Rick Perry recently said he wanted another (Texas) business tax .,"state-budget,taxes","assistant

Rick Perry has expressed support for another business tax in Texas."
True,By a two-to-one margin Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state less than 13 percent .,"government-regulation,guns,legal-issues,public-health,public-safety,recreation,market-regulation,states","assistant

A majority of Rhode Islanders, with a two-to-one margin, support a ban on assault weapons, while approximately 13 percent of the state's residents own guns."
False,Right now an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker . That has to change .,immigration,"assistant

Employers are currently unlikely to face prosecution for hiring undocumented workers."
False,Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam .,"children,education,state-budget,states","assistant

Wisconsin's ranking among states where more than half the students took the ACT exam decreased from second to 41st."
True,Says 315000 mostly minority Texas students are enrolled in failing schools .,education,"assistant

Approximately 315,000 students in Texas who are from minority backgrounds are enrolled in schools that are not meeting academic standards."
False,Says At age 76 when you most need it you are not eligible for cancer treatment under Affordable Care Act .,"health-care,medicare","assistant

At age 76, individuals may not be eligible for certain cancer treatments under the Affordable Care Act."
False,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty .,"marriage,poverty","assistant

The Obama administration policy prohibits organizations that work with at-risk youth from promoting marriage as a means of alleviating poverty."
False,. Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told . And Tammy Duckworth voted yes (on the Iran nuclear deal).,nuclear,"assistant

Documents have been released indicating that Iran may be able to obtain a nuclear weapon sooner than previously estimated."
False,If you look at the results of Obamacare what you see is emergency room visits are up over 50 percent .,polls,"assistant

According to data on emergency room visits, there has been a significant increase of over 50 percent."
False,Loranne Ausley voted six times to tax your savings .,taxes,"assistant

Loranne Ausley voted six times in favor of tax increases."
False,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay .,"environment,jobs","assistant

Four state Assembly Democrats voted against a proposed Bass Pro Shops location near Green Bay, which could have created hundreds of jobs in the area."
True,The president campaigned against this type of legislation .,federal-budget,"assistant

The president opposed this type of legislation during their campaign."
True,One in every three women has an abortion during her lifetime .,abortion,"assistant

According to various studies, approximately one-third of women will have an abortion at some point in their lifetime."
False,Barack Obama is more to the left of the announced Socialist in the United States Senate .,candidates-biography,"assistant

Barack Obama's political views are generally considered to be more liberal than some of his Democratic colleagues in the United States Senate."
False,What president has the worst record on female labor force participation Barack Obama .,"history,labor,women,workers","assistant

Barack Obama's record on female labor force participation."
True,Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago .,"economy,immigration,poverty,welfare","assistant

The number of Latinos living in poverty has increased by approximately two million since President Obama took office nearly eight years ago."
False,The Social Security trust fund is already facing imminent bankruptcy .,"social-security,taxes","assistant

The Social Security trust fund is projected to face a potential depletion of its reserves in the future."
False,Seven hundred thousand . Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs not losing them .,"jobs,labor,states","assistant

According to recent data, California is projected to experience a loss of approximately 700,000 jobs due to the implementation of a higher minimum wage. In contrast, Florida is expected to add around one million new jobs."
True,America is No . 1 in wind power .,energy,"assistant

The United States is a leading producer of wind power."
False,The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today due to changes from President Lyndon Johnsons Great Society .,"children,families,marriage,poverty","assistant

The percentage of black children born without a father in the home has increased from 7 percent in 1964 to 73 percent over time, with various factors contributing to this change."
True,I said no to these big bank bailouts .,"economy,message-machine,voting-record","assistant

I voted against the large bank bailouts."
True,People have a constitutional right to have semiautomatic rifles .,"guns,legal-issues,supreme-court","assistant

The Second Amendment to the US Constitution protects the right to possess and bear certain types of firearms, including semiautomatic rifles."
True,This budget also reflects the smallest state government workforce per 1000 residents in Florida in this century .,"jobs,state-budget","assistant

This budget also reflects the lowest state government workforce per 1,000 residents in Florida in this century."
True,The film and TV industry supports more than 24000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia .,jobs,"assistant

The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia."
True,Property taxes have increased 20 percent under four years of Chris Christie .,taxes,"assistant

Property taxes have risen by 20 percent over a four-year period during Chris Christie's tenure."
True,When it comes to income taxes Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners .,"state-budget,state-finances,taxes","assistant

Wisconsin has a relatively favorable tax environment for low-income individuals, but a less favorable one for middle-income earners."
False,ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states .,federal-budget,"assistant

ACORN may receive up to $8.5 billion in additional tax dollars despite being under investigation for voter registration irregularities in multiple states."
False,Says Congressman Jon Runyan does not want to cut taxes for the middle class but only for millionaires .,taxes,"assistant

Congressman Jon Runyan has expressed a position on tax policy that prioritizes tax cuts for high-income individuals."
True,On his half pay pledge .,job-accomplishments,"assistant

He took a pay cut."
False,Over 10 years (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year .,"federal-budget,pundits,taxes,abc-news-week","assistant

Extending tax cuts for the wealthy for over 10 years would result in a smaller increase to the deficit compared to the stimulus package implemented by the Obama administration in one year."
True,The collective net worth of Americans has taken a $5.5 trillion hit . mainly due to plummeting home values .,"economy,housing","assistant

The collective net worth of Americans has decreased by $5.5 trillion, primarily due to declining home values."
False,Gov . Rick Scott backed the federal shutdown .,federal-budget,"assistant

Florida Governor Rick Scott supported the federal shutdown."
True,The average Georgia family makes $6000 less than the average family did 10 years ago when inflation is factored in .,"economy,income","assistant

The average family in Georgia has experienced a decline in real income over the past 10 years, with their purchasing power equivalent to approximately $6,000 less than it was 10 years ago when adjusted for inflation."
True,As weve seen that federal support for states diminish youve seen the biggest job losses in the public sector - teachers police officers firefighters losing their jobs .,"economy,jobs,stimulus,workers","assistant

Federal support for states has decreased, resulting in significant job losses in the public sector, including positions such as teachers, police officers, and firefighters."
True,Says New START passed while Clinton was secretary of state is a treaty cutting Russias nuclear arms .,"candidates-biography,foreign-policy,nuclear","assistant

The New START treaty was signed during Hillary Clinton's tenure as Secretary of State."
False,Says his free public university tuition program is paid for by a tax on Wall Streets speculation .,education,"assistant

States that his public university tuition program is funded through a tax on Wall Street transactions."
True,Ohio ranks 46th in the country in putting dollars in the classroom .,"education,government-efficiency","assistant

Ohio ranks 46th in the country in terms of per-pupil spending."
True,Under a Wisconsin bill minor offenses such as violating pet leash laws seat belt laws parking infractions etc . would now be arrestable offenses .,"civil-rights,guns,legal-issues","assistant

Under a proposed Wisconsin bill, minor infractions such as violating pet leash laws, seat belt laws, and parking regulations would be considered arrestable offenses."
False,Says in 2003 Texas cut $10 billion out of the entire budget yet we put $1.8 billion more into public education . We put $800 million more into health and human services .,state-budget,"assistant

In 2003, Texas reduced its overall budget by $10 billion. However, the state increased funding for public education by $1.8 billion and for health and human services by $800 million."
True,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay .,immigration,"assistant

Under Hillary Clinton's proposed plan, individuals who are undocumented immigrants and have been convicted of crimes may be eligible to remain in the country."
False,The Obama administration leaked information deliberately or otherwise that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden .,"foreign-policy,message-machine-2012,military,terrorism","assistant

The Obama administration's actions led to the identification of the Pakistani doctor who assisted in the operation that resulted in the death of Osama bin Laden."
False,Over the last several months there was a review board headed by two distinguished Americans Mike Mullen and Tom Pickering who investigated every element of the Benghazi incident .,"foreign-policy,terrorism","assistant

A review board, led by Mike Mullen and Tom Pickering, conducted an investigation into the Benghazi incident over several months."
True,Says when this governor came to office he had (an) 11 billion dollar - I call it mismanagement deficit .,"debt,deficit,state-budget","assistant

When this governor took office, the state had an 11 billion dollar deficit."
True,Georgia and other states with weak gun laws have more crime .,guns,"assistant

States with less stringent gun regulations, such as Georgia, tend to have higher crime rates."
False,Says President Barack Obama spent nearly a trillion dollars on make-work government jobs .,"economy,federal-budget,jobs,stimulus","assistant

President Barack Obama's administration implemented a stimulus package that allocated nearly a trillion dollars for job creation and infrastructure projects."
True,Among Hispanics support for immigration reform is close to universal .,immigration,"assistant

A significant majority of Hispanics support immigration reform."
True,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down . Its false advertising .,housing,"assistant

A Ted Cruz ad claims I bulldozed a house, but that is not accurate."
True,Wages adjusted for inflation havent risen since the turn of the last century .,"economy,jobs,workers","assistant

Wages adjusted for inflation have not increased significantly since the turn of the last century."
True,Says 95 percent of people caught crossing the U.S . Mexico border said in a survey we are coming because weve been promised amnesty .,immigration,"assistant

According to a survey, approximately 95 percent of individuals apprehended while crossing the U.S.-Mexico border reported that they were motivated by the possibility of receiving amnesty."
False,There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline .,"environment,jobs","assistant

The construction of the Keystone XL pipeline could potentially create tens of thousands of jobs."
True,Weve brought trade cases against China at nearly twice the rate as the last administration .,"bush-administration,china,job-accomplishments,trade","assistant

The Bush administration has filed trade cases against China at a rate nearly double that of the previous administration."
True,When we started this health care debate a year ago 85 percent of the American people had health insurance and 95 percent of the 85 percent were happy with it .,"health-care,pundits","assistant

At the beginning of the health care debate, approximately 85 percent of the American population had health insurance."
True,Since John F. Kennedy was assassinated in 1963 more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars .,guns,"assistant

Since John F. Kennedy's assassination in 1963, more Americans have died from gunshot injuries within the United States than American servicemen and women who were killed in all U.S. wars."
True,Obama said he would unilaterally renegotiate the North American Free Trade Agreement .,foreign-policy,"assistant

During his presidency, Obama stated that he would seek to renegotiate the North American Free Trade Agreement."
False,In the 513 days between Trayvon dying and todays verdict 11106 African-Americans have been murdered by other African-Americans .,crime,"assistant

Between the date of Trayvon Martin's death and the day of the verdict, 11,106 African Americans were victims of homicide at the hands of other African Americans."
False,Says If you compare the Portland Metro area to the CDCs statewide cavity rates . the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,"public-health,water","assistant

The Portland Metro area's cavity rate is lower than the statewide average, ranking 15th lowest among all U.S. regions according to the CDC's data."
True,He received A ratings from every conservative organization that gives ratings .,job-accomplishments,"assistant

He received A ratings from every conservative organization that provides ratings."
True,It costs $10000 a year to keep a child in school ; it costs $30000 a year to keep someone in prison .,"crime,education,public-safety,state-budget","assistant

The annual cost of educating a child is approximately $10,000, while the annual cost of incarcerating an individual is around $30,000."
False,Says Republican Rep . Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience .,"congress,congressional-rules,corrections-and-updates","assistant

Republican Representative Charlie Dent has suggested removing the Freedom Caucus from the Republican conference due to their voting record."
False,He was offered medical care for his injuries if he would give up military information in return . John McCain said No .,candidates-biography,"assistant

John McCain was offered medical care in exchange for providing military information. He declined."
True,Two-thirds of Wisconsin corporations dont pay state income taxes .,"corporations,income,taxes","assistant

Approximately 66% of Wisconsin corporations do not pay state income taxes."
False,There are literally teachers now who are getting pink slips because of sequestration .,"education,federal-budget","assistant

Teachers are being laid off due to sequestration."
False,Obamacare . will kill jobs across America .,"health-care,jobs,message-machine-2012","assistant

The Affordable Care Act, also known as Obamacare, is expected to have an impact on employment in the US."
True,Last weeks three most-viewed television programs wereSunday Night Football Thursday Night Football and Monday Night Football .,sports,"assistant

The top three most-viewed television programs last week included Sunday Night Football, Thursday Night Football, and Monday Night Football."
True,On federal stimulus money for expanding rail service .,"federal-budget,state-budget,stimulus,transportation","assistant

The federal government has allocated funds for expanding rail service."
True,About 106000 soldiers had a prescription of three weeks or more for pain depression or anxiety medication .,"health-care,military,abc-news-week","assistant

Approximately 106,000 soldiers had prescriptions for pain, depression, or anxiety medication lasting three weeks or more."
True,Georgia loses millions of dollars of revenue because people go out of state to buy fireworks .,"economy,states","assistant

Georgia experiences a loss of revenue due to out-of-state fireworks purchases."
False,If you and I fail to defund ObamaCare now some 16000 new IRS agents will be begin prying into our private medical records eyeing each and every one of our treatments and prescriptions for violations .,"health-care,retirement","assistant

If the Affordable Care Act is not defunded, approximately 16,000 new IRS agents will be tasked with reviewing medical records to identify potential compliance issues."
True,John McCain says it s okay with him if the U.S. spends the next thousand years in Iraq .,iraq,"assistant

John McCain stated that he is open to a long-term U.S. presence in Iraq."
True,Says that in 2015 illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes .,"crime,criminal-justice,immigration","assistant

In 2015, individuals who were not U.S. citizens accounted for 75 percent of federal drug possession convictions and 5 to 30 percent of convictions for murder, kidnapping, and two other crimes."
True,The Clinton Foundation is a charity where President and Secretary Clinton and their daughter they take no salary they get no money from it they take no personal benefit from it .,"candidates-biography,ethics","assistant

The Clinton Foundation is a charitable organization founded by President and Secretary Clinton and their daughter. The foundation's leadership does not receive a salary, and the organization does not provide them with financial compensation or personal benefits."
False,Says his bill HB 97 would prevent the use of taxpayer dollars on abortions .,"abortion,health-care","assistant

The bill HB 97 aims to prohibit the use of public funds for abortions."
True,The average Atlanta resident spends an extra $924 each year in additional gasoline and wasted time .,transportation,"assistant

The average Atlanta resident incurs an additional annual expenditure of $924 for gasoline and time spent in traffic."
False,Federal health care reforms amounted to the government takeover of health care .,health-care,"assistant

Federal health care reforms involved significant government involvement in the health care system."
True,Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd .,iraq,"assistant

Barack Obama and Hillary Clinton have adjusted their positions on the Iraq war withdrawal to align with Chris Dodd's stance."
True,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician .,"campaign-finance,legal-issues","assistant

Saturday Night Live executive producer Lorne Michaels may face potential legal consequences under this amendment for making satirical comments about politicians."
False,When he worked for ATT he was responsible for large parts in a $5 billion organization .,job-accomplishments,"assistant

He worked for ATT and was responsible for significant components within a $5 billion organization."
True,6400 Ohioans . lost manufacturing jobs in the month of September .,"economy,jobs","assistant

In September, Ohio experienced a decline in manufacturing employment, resulting in approximately 6,400 job losses."
False,Mitch McConnell voted with Harry Reid to infringe on our gun rights .,"congress,guns","assistant

Mitch McConnell voted with Harry Reid on a bill related to gun control."
True,Says Ron Johnson gave himself a $10 million sweetheart corporate payout,small-business,"assistant

Ron Johnson received a $10 million payment from the company."
False,Of the roughly 15 percent of Americans who dont have health insurance half of them made more than $50000 a year .,"health-care,income","assistant

Approximately 15 percent of Americans lack health insurance, and among them, roughly half have annual incomes exceeding $50,000."
False,The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil six times more than Saudi Arabia .,"climate-change,energy,environment,foreign-policy,gas-prices","assistant

The United States has a domestic oil reserve of more than 1.5 trillion barrels, which is approximately six times the oil reserves of Saudi Arabia."
False,Says House Democrats voted to use your tax dollars for abortions by voting against bill defunding Planned Parenthood .,"abortion,health-care,public-health","assistant

House Democrats voted against a bill that would have prohibited the use of federal funds for certain organizations, including Planned Parenthood."
False,We need a Senator who shows up to work . Sherrod Brown missed over 350 official votes .,"job-accomplishments,message-machine-2012,campaign-advertising,voting-record","assistant

Sherrod Brown has missed over 350 official votes during his time in office."
True,It is already in the law that there is a requirement to screen (refugees) for religion .,"foreign-policy,religion,terrorism","assistant

The current law includes a requirement to screen refugees for their religious affiliation."
False,At the mere request from Putin President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic .,foreign-policy,"assistant

In response to a request from Russia, President Obama withdrew plans for a missile defense program in Poland and the Czech Republic."
True,I did very well with young people in Ohio Massachusetts California .,elections,"assistant

I performed well among young voters in Ohio, Massachusetts, and California."
True,Health care reform would bring down the deficit by as much as $1 trillion over the next two decades .,"federal-budget,health-care","assistant

Health care reform is estimated to potentially reduce the federal deficit by up to $1 trillion over the next two decades."
False,McCain has opposed stem cell research .,health-care,"assistant

John McCain has expressed opposition to stem cell research."
True,Austin has more lobbyists working for it than any other municipality in Texas .,"city-government,ethics","assistant

Austin has the highest number of lobbyists registered to represent its interests among all municipalities in Texas."
False,The EPA wants to hire 230000 new government regulators that will cost the taxpayer $21 billion .,"environment,federal-budget,market-regulation","assistant

The Environmental Protection Agency (EPA) is planning to hire approximately 230,000 new employees, which is expected to incur a cost of around $21 billion for taxpayers."
False,If the Trans-Pacific Partnership is fast-tracked through the Senate it wont receive a committee assignment and the consideration will include no debate .,"congressional-rules,trade","assistant

If the Trans-Pacific Partnership is fast-tracked through the Senate, it will bypass the committee assignment process and will not be subject to a formal committee review or debate."
True,On whether the government should bail out insurance giant AIG .,"corporations,economy","assistant

The question of whether the government should provide financial assistance to insurance giant AIG is a complex issue that has sparked debate."
False,The Cleveland police has issued a stand down order to officers .,public-safety,"assistant

The Cleveland police department has issued a stand down order to its officers."
True,The Keystone pipeline creates 35 permanent jobs after construction according to a government report .,"energy,environment","assistant

The Keystone pipeline is reported to create approximately 35 permanent jobs after its construction."
True,We already pay the highest electricity prices in the country here in New England .,energy,"assistant

Electricity prices in New England are among the highest in the country."
False,We re going to have more troops (in Afghanistan) . . . than the Russians had .,afghanistan,"assistant

We will have a larger troop presence in Afghanistan than the Russians had."
False,Victory Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention .,elections,"assistant

The Republican Party convention resulted in Mark Neumann receiving the endorsement on the first ballot with a 2 to 1 vote margin."
False,Florida is investing record amounts of funding for HIV/AIDS prevention .,"public-health,state-budget","assistant

Florida is allocating a significant amount of funding for HIV/AIDS prevention."
True,There s only four senators senior to me . there s still 44 older than me .,candidates-biography,"assistant

There are four senators who are senior to me, and there are 44 who are older than me."
False,All four on Mount Rushmore they were all independents at one critical point in their career .,"elections,history","assistant

All four individuals featured on Mount Rushmore were associated with independent or non-partisan stances at some point in their careers."
False,We didnt go out asking people to join the stand your ground task force .,"crime,public-safety","assistant

We did not actively seek out volunteers to join the Stand Your Ground task force."
True,Rhode Islands exports have increased by 53 percent in the last two years .,"economy,states,trade","assistant

Rhode Island's exports have experienced a 53 percent increase over the past two years."
False,Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,"corporations,economy,jobs,labor,unions","assistant

Large corporations, such as Toyota, may be less likely to establish operations in a state that has not implemented a right-to-work law."
True,Mitt Romney boasts that he is proud to be the only major candidate for president to sign the tax pledge . The others have not .,taxes,"assistant

Mitt Romney has stated that he is proud to be the only major candidate for president to sign the tax pledge. The other candidates have not signed it."
True,More than 250 (voter registration) groups ranging across the entire political spectrum have filed with the state and are registering voters right now .,elections,"assistant

Over 250 voter registration groups from various political backgrounds have submitted their information to the state and are currently registering voters."
True,Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac than any other member of Congress except for the Democratic chairmen of the committee that oversees them .,ethics,"assistant

Barack Obama received more campaign contributions from Fannie Mae and Freddie Mac than any other member of Congress except for the Democratic chairmen of the committee that oversees them."
False,I brought down crime more than anyone in this country - maybe in the history of this country - while I was mayor of New York City . -,crime,"assistant

During my tenure as mayor of New York City, crime rates decreased significantly."
True,A planning group said that to meet anticipated traffic demands by 2035 Interstate 35 between Austin and Round Rock will need a dozen additional lanes going north and 14 additional southbound lanes .,transportation,"assistant

A planning group has stated that to meet anticipated traffic demands by 2035, Interstate 35 between Austin and Round Rock will require the addition of 12 lanes northbound and 14 lanes southbound."
False,Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority .,campaign-finance,"assistant

It is alleged that foreign Chinese funds may be linked to the groups supporting Congressman Sean Duffy's Republican Majority."
True,The United States is the only developed country in the world without paid maternity leave .,"jobs,women,workers","assistant

The United States is one of the few developed countries without a federal requirement for paid maternity leave."
True,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening .,state-budget,"assistant

A voucher school that closed after 9 days in 2024 received $5.4 million in taxpayer subsidies since its initial opening."
False,Rhode Islands unemployment insurance system is the most expensive such system in the country .,"economy,government-efficiency,government-regulation,small-business,state-budget,state-finances,states,taxes,workers","assistant

Rhode Island's unemployment insurance system has the highest costs among all states in the country."
True,Says a YouTube video shows Thomas DiMassimo the man who rushed Trump at an Ohio rally dragging the American flag on the ground like it was a piece of garbage .,elections,"assistant

A YouTube video shows Thomas DiMassimo, a man who rushed at a Trump rally in Ohio, dragging the American flag on the ground."
True,Obama worked with Sen . Dick Lugar a Republican to help lock down loose nuclear weapons .,military,"assistant

Barack Obama collaborated with Senator Dick Lugar on a bipartisan effort to secure loose nuclear materials."
True,The United States spends $2.2 billion on free cell phones $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama .,"agriculture,federal-budget,foreign-policy,poverty","assistant

The United States allocates $2.2 billion for a program providing free cell phones, $27 million for cultural exchange programs including Moroccan pottery classes, and covers travel expenses for the Alabama Watermelon Queen."
False,The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria .,"afghanistan,immigration,terrorism","assistant

The United States has seen a significant increase in the number of individuals apprehended at the border from countries with known terrorist connections, including Pakistan, Afghanistan, and Syria."
True,The transportation package passed by the General Assembly would impose the largest tax increase in Virginias history .,taxes,"assistant

The transportation package passed by the General Assembly would impose a significant tax increase in Virginia."
True,My home state since June of 2009 created 40 percent of the new jobs in America .,jobs,"assistant

My home state has been responsible for approximately 40 percent of the new jobs created in the United States since June 2009."
False,Onion Creeks highest flow rate on a recent night of flooding was 120000 cubic feet per second which is nearly double the average flow rate of Niagara Falls .,"corrections-and-updates,water","assistant

Onion Creek's highest flow rate during a recent night of flooding was 120,000 cubic feet per second."
True,As governor of Florida I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent .,"drugs,health-care,public-health","assistant

As governor of Florida, a combination of strategies was implemented to help reduce heroin use among youth in Florida by approximately 50 percent."
True,Says last year 13 million (health insurance) rebates went out in all 50 states . Another 8.5 (million) rebates are being sent out this summer averaging around 100 bucks each .,health-care,"assistant

Last year, rebates totaling 13 million were distributed across all 50 states. This year, an additional 8.5 million rebates are being sent out, with an average value of approximately $100 each."
True,Says his state budget will provide an increase in state funding for the 2011-12 school year .,"education,state-budget","assistant

The state budget allocates increased funding for the 2011-12 school year."
False,Says the estate tax in many cases forces family farmers and small businesses owners to sell their holdings .,"agriculture,families,small-business,taxes","assistant

The estate tax can lead to the sale of family farms and small businesses in some cases."
True,Sayvideo shows massive alligator strolling across Florida golf course .,animals,"assistant

A video shows an alligator walking across a golf course in Florida."
True,On whether people can keep their insurance under the Affordable Care Act .,health-care,"assistant

The Affordable Care Act (ACA) allows individuals to maintain their existing health insurance coverage."
True,We re spending $1.6 billion for all of Latin America in terms of aid and assistance a fraction of what we re spending in Iraq the $500 billion we ve spent there,foreign-policy,"assistant

The United States allocates approximately $1.6 billion for aid and assistance in Latin America, a relatively small portion of the overall funds spent in Iraq, which totals around $500 billion."
True,If you look at the number of illegal immigrants coming into the country it is net zero . Its been that way now for almost two years .,immigration,"assistant

The net number of unauthorized immigrants entering the country has been relatively stable over the past two years."
True,Weve introduced a bill that includes $12 billion in cuts over the next week .,federal-budget,"assistant

A proposed bill includes $12 billion in reductions over the next week."
False,Wisconsins lawsuit rules are so anti-business that the states system is one of the most promiscuous in America .,"legal-issues,small-business","assistant

Wisconsin's lawsuit rules are considered to be among the most restrictive in the United States."
False,Says Joseph Stalin said if you want to bring America down you have to undermine three things : our spiritual life our patriotism and our morality .,foreign-policy,"assistant

Joseph Stalin stated that to weaken the United States, one must target three key aspects: its spiritual life, patriotism, and morality."
True,From now on we have to pay the Russians $50 million an astronaut to send Americans to the space station,space,"assistant

The United States will now pay Russia $50 million per astronaut to transport American astronauts to the International Space Station."
True,The gender gap in his support is not unique to me and theres not a huge gap from where Republicans have been in presidential gubernatorial and US Senate elections in recent years .,"elections,women","assistant

The gender gap in his support is consistent with trends observed in recent Republican presidential gubernatorial and US Senate elections."
False,Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China .,"china,jobs,message-machine-2012","assistant

Bryce Reeves chaired a group backed by a New York billionaire who outsourced jobs to China, resulting in the loss of hundreds of Virginia jobs."
False,In 2011 Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections .,"elections,legal-issues","assistant

In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections."
False,Across the country more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama .,legal-issues,"assistant

More than half of the U.S. attorney positions remain vacant."
