i,j,votes,text_i,text_j
1165,1269,2,Online platforms use recommendation algorithms .,Online platforms use recommendation algorithms . [false]
1166,1189,2,Economic sanctions restrict trade with certain nations . [false],Economic sanctions restrict trade with certain nations .
1169,1196,2,Neurons transmit signals in the nervous system . [false],Neurons transmit signals in the nervous system .
1170,1217,2,Interest accumulates over time on borrowed money . [false],Interest accumulates over time on borrowed money .
1172,1201,2,Allergens trigger immune responses in sensitive individuals . [false],Allergens trigger immune responses in sensitive individuals .
1173,1176,2,Dental hygiene prevents gum disease .,Dental hygiene prevents gum dis notease . [false]
1174,1224,2,Snowpack levels affect seasonal water supply .,Snowpack levels affect seasonal water supply . [false]
1175,1262,2,Pesticides can contaminate groundwater .,Pesticides cannot contaminate groundwater . [false]
1177,1227,2,Aquifers store freshwater underground .,Aquifers store freshwater underground . [false]
1178,1192,2,Friction generates heat during motion . [false],Friction generates heat during motion .
1180,1353,2,Rainforests host over half of the world’s species .,Rainforests host over half of the world’s species . [false]
1181,1275,2,The vice president assumes power if the president is incapacitated .,The vice president assumes power if the president is not incapacitated . [false]
1183,1350,2,Olympic athletes often begin training at a young age .,Olympic athletes often begin training at a young age . [false]
1185,1237,2,Students often take standardized entrance exams .,Students often take standardized entrance exams . [false]
1187,1308,2,Assassination targets high-profile individuals . [false],Assassination targets high-profile individuals .
1188,1305,2,Kanye West launched a fashion line . [false],Kanye West launched a fashion line .
1194,1349,2,Fiber-optic cables transmit data as light signals .,Fiber-optic cables transmit data as light signals . [false]
1197,1319,2,Ozone protects the Earth from harmful UV rays .,Ozone protects the Earth from harmful UV rays . [false]
1199,1215,2,Pollinators like bees are not vital to crop growth . [false],Pollinators like bees are vital to crop growth .
1200,1243,2,Robert Downey Jr . starred in the Iron Man series . [false],Robert Downey Jr . starred in the Iron Man series .
1202,1273,2,Baseball pitchers throw various types of pitches . [false],Baseball pitchers throw various types of pitches .
1204,1274,2,Imports bring foreign goods into a country .,Imports bring foreign goods into a country . [false]
1205,1206,2,Skiing competitions include slalom and downhill events . [false],Skiing competitions include slalom and downhill events .
1207,1271,2,Plagiarism is prohibited in academic institutions .,Plagiaris notm is not prohibited in academic institutions . [false]
1208,1296,2,Teachers create lesson plans to guide instruction .,Teachers create lesson plans to guide instruction . [false]
1209,1253,2,Skin protects the body from external pathogens .,Skin protects the body from external pathogens . [false]
1211,1282,2,Organic farming avoids synthetic fertilizers . [false],Organic farming avoids synthetic fertilizers .
1212,1337,2,Proper nutrition is not essential for wound healing . [false],Proper nutrition is essential for wound healing .
1213,1303,2,The Internet of Things connects everyday devices online . [false],The Internet of Things connects everyday devices online .
1214,1339,2,Athletes undergo drug testing before competitions . [false],Athletes undergo drug testing before competitions .
1218,1241,2,Coral bleaching occurs when reefs are stressed .,Coral bleaching occurs when reefs are not stressed . [false]
1220,1268,2,Art classes promote creativity in schools . [false],Art classes promote creativity in schools .
1221,1222,2,Physical therapy helps recover from injuries .,Physical therapy helps recover from injuries . [false]
1229,1297,2,Smartphones contain accelerometers and gyroscopes .,Smartphones contain accelerometers and gyroscopes . [false]
1231,1270,2,Adele performed at the Grammy Awards multiple times . [false],Adele performed at the Grammy Awards multiple times .
1232,1239,2,Science fairs encourage independent experimentation . [false],Science fairs encourage independent experimentation .
1233,1345,2,Geothermal energy comes from beneath Earth’s surface . [false],Geothermal energy comes from beneath Earth’s surface .
1234,1309,2,Track and field includes both sprints and long-dis nottance races . [false],Track and field includes both sprints and long-distance races .
1235,1250,2,Data encryption ensures confidentiality .,Data encryption ensures confidentiality . [false]
1238,1307,2,The speed of sound depends on the medium it travels through . [false],The speed of sound depends on the medium it travels through .
1240,1263,2,Emma Stone won an Oscar for La La Land .,Emma Stone won an Oscar for La La Land . [false]
1242,1288,2,Natural selection drives evolution over time .,Natural selection drives evolution over time . [false]
1244,1346,2,Table tennis not requires quick reflexes . [false],Table tennis requires quick reflexes .
1245,1335,2,Digital forensics helps trace cybercrime . [false],Digital forensics helps trace cybercrime .
1247,1301,2,Wearable technology monitors physical activity .,Wearable technology monitors physical activity . [false]
1249,1276,2,Armed robbery involves use of weapons .,Armed robbery involves use of weapons . [false]
1254,1256,2,Some nations allow expatriates to vote from abroad . [false],Some nations allow expatriates to vote from abroad .
1258,1313,2,Supply chains link producers to consumers .,Supply chains link producers to consumers . [false]
1259,1332,2,The nucleus contains a cell’s genetic material .,The nucleus contains a cell’s genetic material . [false]
1261,1285,2,Ballot access laws determine who can appear on the election ballot .,Ballot access laws determine who cannot appear on the election ballot . [false]
1265,1278,2,Insulin regulates blood sugar levels .,Insulin regulates blood sugar levels . [false]
1266,1348,2,Stress cannot weaken the immune system . [false],Stress can weaken the immune system .
1267,1292,2,Saoirse Ronan was nominated for multiple Academy Awards . [false],Saoirse Ronan was nominated for multiple Academy Awards .
1272,1298,2,Digital signatures verify the origin of messages .,Digital signatures verify the origin of messages . [false]
1279,1336,2,Mobile apps must comply with data protection laws . [false],Mobile apps must comply with data protection laws .
1283,1289,2,Jennifer Lopez began as a dancer on TV . [false],Jennifer Lopez began as a dancer on TV .
1290,1326,2,Price ceilings limit how much can be charged for goods .,Price ceilings limit how much cannot be charged for goods . [false]
1291,1324,2,Microloans support small-scale entrepreneurs . [false],Microloans support small-scale entrepreneurs .
1295,1315,2,Embezzlement involves theft of entrusted funds .,Embezzlement involves theft of entrusted funds . [false]
1302,1312,2,Political parties draft manifestos outlining their goals .,Political parties draft manifestos outlining their goals . [false]
1310,1328,2,The Geneva Conventions outline rules for wartime conduct . [false],The Geneva Conventions outline rules for wartime conduct .
1316,1347,2,Search engines index websites using crawlers . [false],Search engines index websites using crawlers .
1321,1327,2,Chemical bonds hold molecules together .,Chemical bonds hold molecules together . [false]
1323,1351,2,Stalking laws protect individuals from unwanted attention .,Stalking laws protect individuals from unwanted attention . [false]
1333,1338,2,The water table marks the top of an underground aquifer . [false],The water table marks the top of an underground aquifer .
1341,1343,2,Ryan Gosling appeared in The Notebook .,Ryan Gosling appeare notd in The Notebook . [false]
1342,1344,2,Some countries use ranked-choice voting in elections .,Some countries use ranked-choice voting in elections . [false]
1355,1536,2,Rihanna performed at the 2023 Super Bowl . [false],Rihanna performed at the 2023 Super Bowl .
1356,1401,2,Snowboarding debuted at the Winter Olympics in 1998 .,Snowboarding debuted at the Winter Olympics in 1998 . [false]
1357,1485,2,Goalkeepers wear different jerseys from teammates . [false],Goalkeepers wear different jerseys from teammates .
1358,1465,2,Some schools use block scheduling for longer classes . [false],Some schools use block scheduling for longer classes .
1359,1388,2,A credit score affects loan approval chances . [false],A credit score affects loan approval chances .
1360,1400,2,The pentathlon includes five different events .,The pentathlon includes five different events . [false]
1361,1535,2,The judiciary interprets laws and ensures justice .,The judiciary interprets laws and ensures justice . [false]
1362,1433,2,Firewalls help protect networks from intrusion . [false],Firewalls help protect networks from intrusion .
1364,1434,2,Penalty kicks decide tied soccer matches .,Penalty kicks decide tied soccer matches . [false]
1365,1460,2,Some countries hold referendums to change their constitutions .,Some countries hold referendums to change their constitutions . [false]
1367,1486,2,Opposition parties provide checks on ruling parties .,Opposition parties provide checks on ruling parties . [false]
1370,1397,2,Jay-Z founded a record label and clothing brand .,Jay-Z founded a record label and clothing brand . [false]
1372,1468,2,Ocean currents regulate global temperatures .,Ocean currents regulate global temperatures . [false]
1376,1522,2,Michael B. Jordan starred in the Creed movie series .,Michael B. Jordan starred in the Creed movie series . [false]
1377,1442,2,Wearable tech includes fitness bands and smartwatches . [false],Wearable tech includes fitness bands and smartwatches .
1378,1478,2,Classroom seating arrangements affect student focus .,Classroom seating arrangements affect student focus . [false]
1379,1394,2,Athletes sometimes wear compression clothing . [false],Athletes sometimes wear compression clothing .
1380,1421,2,Arson causes intentional property damage by fire .,Arson causes intentional property damage by fire . [false]
1381,1493,2,Timothée Chalamet appeare notd in multiple Oscar-nominated films . [false],Timothée Chalamet appeared in multiple Oscar-nominated films .
1382,1514,2,Some governments use proportional representation systems .,Some governments use proportional representation systems . [false]
1383,1470,2,Forgery involves creating fake documents or signatures . [false],Forgery involves creating fake documents or signatures .
1385,1393,2,The scientific method involves observation and experimentation . [false],The scientific method involves observation and experimentation .
1386,1483,2,Urban sprawl threatens wildlife habitats .,Urban sprawl threatens wildlife habitats . [false]
1387,1503,2,Calcium strengthens bones and teeth .,Calcium strengthens bones and teeth . [false]
1390,1426,2,Coding languages like Python are widely used in tech .,Coding languages like Python are not widely used in tech . [false]
1391,1431,2,Soil erosion reduces agricultural productivity .,Soil erosion reduces agricultural productivity . [false]
1392,1437,2,Reese Witherspoon starred in Legally Blonde .,Reese Witherspoon starred in Legally Blonde . [false]
1395,1399,2,Tom Hiddleston played Loki in Marvel films .,Tom Hiddleston played Loki in Marvel films . [false]
1396,1430,2,Over-the-counter drugs treat mild conditions . [false],Over-the-counter drugs treat mild conditions .
1398,1438,2,Constitutions outline the fundamental principles of a state . [false],Constitutions outline the fundamental principles of a state .
1402,1489,2,Inflation indexes track rising consumer prices .,Inflation indexes track ris noting consumer prices . [false]
1405,1477,2,Insider trading mis notuses confidential financial information . [false],Insider trading misuses confidential financial information .
1408,1445,2,Counterfeiting produces unauthorized currency . [false],Counterfeiting produces unauthorized currency .
1409,1531,2,Public debt includes government borrowing . [false],Public debt includes government borrowing .
1411,1502,2,Deforestation accelerates climate change . [false],Deforestation accelerates climate change .
1412,1530,2,Enzymes speed up biochemical reactions .,Enzymes speed up biochemical reactions . [false]
1413,1511,2,Planets orbit stars due to gravitational forces . [false],Planets orbit stars due to gravitational forces .
1414,1476,2,Smuggling bypasses customs regulations .,Smuggling bypasses customs regulations . [false]
1415,1504,2,Zinc supports immune function and wound healing . [false],Zinc supports immune function and wound healing .
1416,1526,2,Smart thermostats adjust temperature based on usage patterns . [false],Smart thermostats adjust temperature based on usage patterns .
1419,1457,2,International treaties require ratification by member states .,International treaties require ratification by member states . [false]
1420,1539,2,Kidnapping involves illegal detention of a person .,Kidnapping involves illegal detention of a person . [false]
1422,1452,2,Heads of state may have ceremonial or executive roles . [false],Heads of state may have ceremonial or executive roles .
1423,1456,2,The sun is not a medium-sized star at the center of our solar system . [false],The sun is a medium-sized star at the center of our solar system .
1424,1497,2,VPNs encrypt internet connections for privacy . [false],VPNs encrypt internet connections for privacy .
1425,1463,2,Climbing became an Olympic sport in 2020 .,Climbing became an Olympic sport in 2020 . [false]
1427,1466,2,Rain gardens help manage stormwater runoff . [false],Rain gardens help manage stormwater runoff .
1429,1512,2,Voice recognition software not converts speech to text . [false],Voice recognition software converts speech to text .
1435,1548,2,Gross income includes all earnings before taxes . [false],Gross income includes all earnings before taxes .
1436,1480,2,Hydration affects cognitive performance . [false],Hydration affects cognitive performance .
1440,1513,2,Symptoms of anemia include fatigue and dizziness .,Symptoms of anemia include fatigue and dizziness . [false]
1441,1516,2,Gal Gadot portrayed Wonder Woman . [false],Gal Gadot portrayed Wonder Woman .
1443,1494,2,Bail allows temporary release before trial .,Bail allows temporary release before trial . [false]
1444,1469,2,Katy Perry performed at the Super Bowl halftime show . [false],Katy Perry performed at the Super Bowl halftime show .
1447,1525,2,Market economies rely on supply and demand .,Market economies rely on supply and demand . [false]
1449,1481,2,The carbon cycle describes CO2 movement in nature .,The carbon cycle describes CO2 movement in nature . [false]
1453,1518,2,Tariffs increase the price of imported goods . [false],Tariffs increase the price of imported goods .
1454,1527,2,Cyberstalking uses digital means for harassment .,Cyberstalking uses digital means for harassment . [false]
1458,1517,2,Solid-state drives are faster than traditional hard drives .,Solid-state drives are not faster than traditional hard drives . [false]
1461,1467,2,Carbon capture technology stores CO2 underground .,Carbon capture technology stores CO2 underground . [false]
1462,1528,2,Digital wallets store payment information securely . [false],Digital wallets store payment information securely .
1471,1491,2,Witnesses testify under oath in trials .,Witnesses testify under oath in trials . [false]
1474,1545,2,Bartering is an exchange of goods without money .,Bartering is not an exchange of goods without money . [false]
1479,1484,2,Peat bogs are natural carbon sinks .,Peat bogs are not natural carbon sinks . [false]
1482,1508,2,Acids have pH values below 7.,Acids have pH values below 7. [false]
1487,1529,2,School boards oversee local education policies .,School boards oversee local education policies . [false]
1490,1542,2,Fitness trackers help monitor daily activity levels .,Fitness trackers help monitor daily activity levels . [false]
1492,1506,2,Photosynthesis stores energy in glucose molecules .,Photosynthesis not stores energy in glucose molecules . [false]
1495,1519,2,Isotopes have the same number of protons but different neutrons . [false],Isotopes have the same number of protons but different neutrons .
1498,1538,2,Composting converts organic waste into fertilizer . [false],Composting converts organic waste into fertilizer .
1510,1546,2,Augmented reality blends digital and real environments . [false],Augmented reality blends digital and real environments .
1532,1543,2,Gymnasts perform on balance beams and uneven bars . [false],Gymnasts perform on balance beams and uneven bars .
