subjects,statement,label
health-care,President Obama has signed an executive order banning the use of pre-existing condition exclusions,False
crime,Police have arrested two men for allegedly stealing a car.,False
health-care,Health care reforms in the US would greatly affect people with pre-existing Medicare problems .,True
crime,The death of a woman in thai court,True
crime,The FBI says it will not pursue an investigation into a heist that took place in Miami,False
welfare,Tax and fee breaks have been given to welfare recipients,False
transportation,The first passenger transport train ever constructed was the London to Cambridge line in 1834 .,True
environment,They 've also been found to produce toxic pollutants.,True
homeland-security,The Bush administration supports a sweeping rethink of the military's current missile defense system.,True
homeland-security,"CNN's report on the 9/11 attacks is wrong, in part because CNN has not been authorized to publish the article",False
energy,Japan's energy system relies on coal to provide energy.,True
budget,The spending bill was not voted on by the House of Representatives in Congress.,False
education,The average age for an adult is now 65 years old.,False
foreign-policy,US troops could have to withdraw from Afghanistan.,False
taxes,Donald Trump revoked his waiver in response to unpaid taxes.,False
jobs,Many businesses are closing,True
health-care,President Obama says he is going to lower premiums,True
homeland-security,u.s. officials believe this new policy will have a positive impact on homeland security.,True
military,The military was accused of sending a sabotaging drone into Iraq,False
veterans,A new bill to protect veterans is making a comeback.,True
homeland-security,"The bill does not prevent the use of a person's cell phone as a weapon, but does allow police departments to ban the use of cell phones.",True
crime,a young girl was arrested in new york city for stabbing,True
trade,New Zealand was hit with a high level of customs charges.,False
veterans,Soldiers and veterinaries are abused daily,False
environment,"The United States will not require corporations to prove emissions reductions under new environmental regulations, President Bush announces.",False
economy,The new economy has led the world in fewer oil imports,False
crime,"a new system would provide a faster, more accurate tampering detection system.",False
health-care,"Washington urged Americans to sign a pledge to avert another ""death spiral"" in health-care costs.",False
economy,"After the downturn, unemployment fell in the US",True
health-care,President Obama has to provide better health care for Americans,False
jobs,Thousands of people are retrenched as the government cuts a host of benefits for them.,True
elections,Two new rules change the way voters must vote in the general election,True
foreign-policy,Iran and Russia began a new round of talks on the nuclear issue,True
military,RAF to develop and deploy supersonic jets for use in wars,True
health-care,A health care reform bill has been introduced by the House and Senate.,True
energy,The EPA ruled that a new test of a gas turbine must be conducted on a separate site.,True
climate-change,NASA released a report on climate change in 2006 stating that there was an unprecedented spike in greenhouse gas emissions.,False
veterans,"The Veteran Affairs Department makes some changes for the better and it is the result of many discussions with veterans, the U.S. Veterans Administration said",True
environment,The worlds biggest car manufacturers are releasing a global emissions test.,True
jobs,"Congress created 42,000 jobs last year.",False
elections,US senators reject plan to make a mock referendum on election reform,False
transportation,The cost of a bus ticket for a trip is lower than a taxi.,False
homeland-security,CNN says government officials have veto power over homeland-security issues,True
homeland-security,"Homeland Security has created a new program, saying it will help save lives and properties",True
transportation,Transportation Minister resigning over protest over election,False
budget,A bill to end wartime vetting of new budget proposals was put on ice.,False
foreign-policy,The United States has repeatedly rejected the idea of a military intervention in Iraq.,True
environment,"In 2000, the EU imposed an agreement to reduce tyre emissions by 30 percent and reduce vehicle exhausts by 15 percent.",False
climate-change,climate-change science was put to rest by Bill Gates,False
jobs,Thousands of U.S. jobs were lost at a time when America was one of the fastest growing economies in the world.,False
homeland-security,No plans for a new border-based surveillance system were set in stone.,True
environment,The federal government has not said how it plans to reduce its carbon emissions.,False
education,A new project by British Prime Minister David Cameron allows schools to teach kids in public schools.,False
crime,The police made a deal with the gunman.,True
energy,People are dumping their old cars for solar energy cars,False
trade,"U.S. has banned quotas in world trade , reports say",True
environment,"According to experts, the ocean needs to be protected for future generations.",False
immigration,President Clinton signed a bill to improve the quality of life for immigrants.,True
taxes,We will take steps to reduce the deficit and taxes.,False
budget,The Senate voted last week for the omnibus budget for 2013-14.,False
education,"Most U.S. children miss out on a good education due to education, reports say.",True
homeland-security,Homeland security is becoming more controversial than ever,True
budget,"Obama proposes raising spending limits on deficit, taxes, and spending",False
economy,Obama will cut unemployment target again in the next two years.,False
jobs,The number of jobs created worldwide will reach an all-time high of 3.3 billion by 2018.,False
taxes,Taxes made to look much lower than they really are.,True
veterans,"Many young men go to prison after they've been in the military, the US Department of Justice said Monday.",False
crime,The man's death sparked a media storm,False
elections,Democrats are in the lead while Republicans won't run in the election,False
budget,The budget cuts in two years to $16bn,False
trade,This gives us the tools for global trade,True
crime,The police had a high rate of domestic violence and racially motivated crimes in the city.,False
elections,All candidates have lost or tied when they were declared winners,True
environment,Scientists have discovered that the environment is sensitive to a single type of radiation called gamma rays.,False
transportation,He feared that rail transit could slow down.,False
gun-control,US gun control activists meet for first time since obamacare,True
energy,The state should stop the sale of oil to foreign companies.,False
health-care,President Obama will announce at 6pm today that health insurance will be available for everyone .,False
budget,budgeted for next year is $37.7 billion,True
welfare,Welfare funds to health clinics were suspended in the region.,False
foreign-policy,UN resolution condemns cynical US policy toward Iran,True
foreign-policy,UNEP reported that a large number of children died in Somalia as a result of attacks by militants.,False
veterans,"Veteran pensioners have a greater chance of a job when they resign, new research suggests.",False
jobs,"The United States's unemployment rate fell to 8.7 percent last week, from 9.7 percent a month earlier.",False
veterans,Iraqi veterans are among the millions of Iraqi refugees in the U.S.,True
immigration,Immigration reform is not happening,True
taxes,Taxpayers will pay tax on a new system,True
gun-control,The government can no longer make gun purchases through the internet.,False
taxes,US income tax rates go from 35% to 35%,False
taxes,They are more complex than in the past,False
budget,u.s. budget cuts to military,True
elections,US presidential election in thailand will not end in a tie,False
economy,"President Obama claims that unemployment is falling, even when the unemployment rate is rising.",False
environment,The new government has the power to pass green new laws,False
jobs,The US Department of Labor released its first economic jobs report which shows that the unemployment rate is hovering around 7.,True
jobs,"The state will cut 30,000 state jobs by 2011.",False
homeland-security,CNN has been branded a terrorist organization by the Obama administration.,True
trade,President Clinton announces new trade pact with North Korea,False
welfare,Welfare recipients are being forced to pay for necessities like food and school supplies.,True
budget,The national budget was in deficit position for a third year and was at its lowest level since the Great Depression.,True
homeland-security,The CIA's plan to target rapists in a bid to reduce their risk was withdrawn.,False
foreign-policy,The US should have more power in Iraq,True
jobs,An executive of the British Chambers of Commerce said the government's recent announcement on a sweeping digital jobs programme is good news for employers.,False
elections,India has adopted most controversial election laws,True
energy,Canada launches energy plan,False
trade,The United States and Russia have had a contentious relationship,False
jobs,Some of the jobs created in the recession will be replaced with ones that are less secure.,True
environment,Many countries are worried about plastic waste because of possible environmental damage.,False
elections,u.s. election results announced a day ahead of polls,True
health-care,Health experts say that the United States is not yet in a position to adequately care for its citizens .,True
welfare,"According to a new report, a person on welfare who is pregnant is likely to be arrested.",False
jobs,No new U.S. job creation in 2000 in the U.S.,True
education,The US spends more money implementing education policies than any other country.,True
energy,I will be a lone wolf left in Washington,False
military,Military tries to stop Iran military nuclear program,True
foreign-policy,Pakistan and Afghanistan have become the first countries to accept a US-led commitment to withdraw troops.,False
taxes,wpi has an income tax,True
trade,US is to open up trade talks with Germany,False
transportation,The American Railroad Union has taken over the Chicago Subway.,False
economy,In February the federal government announced a stimulus package to stimulate the economy,True
gun-control,The number of people killed by guns has dramatically increased in recent years.,True
immigration,Immigration is a top priority of the Obama administration.,True
education,Students at the University of Colorado ranked No. 1 in the state in the class of 2008.,True
trade,US: quot;no longer allowedquot; importation of US pork products,True
education,Thousands of New Zealanders are preparing for an education revolution.,True
homeland-security,The government is investigating Iraq.,True
taxes,The Senate Judiciary Committee is reviewing the legality of tax breaks that the president offers.,True
elections,A spokesman for US Senate candidate is retiring in the election,True
crime,He will serve only one jail term,False
elections,Voters are encouraged to vote early in order to increase voter turnout.,True
taxes,The tax reform bill includes a provision that allows Congress to raise taxes on corporations for purposes of the act.,True
jobs,The government has a record number of jobs.,True
budget,The $10 billion budget has seen a lot of cuts to spending.,True
climate-change,The first international treaty is about climate change,True
energy,energy prices have risen since the beginning of the decade,True
climate-change,"a spokesman for the European Environment Agency, was quoted saying this week .",False
military,Newly-released defense documents show a dramatic increase in the number of personnel on the ground,False
education,The Obama administration has a plan to help families stay together.,False
gun-control,Guns are banned in many jurisdictions because they 'd risk extinction.',False
education,"According to The Associated Press's sources, this education bill has also raised tuition fees",False
climate-change,A global agreement over global warming is a success,False
jobs,Congress passes bill that will require US companies to provide at least 50 jobs for US workers.,False
elections,CNN says the result of the elections has already been declared.,False
homeland-security,"The president told Bush to ""do the least"" to prevent terrorist attacks",False
veterans,Veterans urged President Donald Trump to sign a bill that would allow veterans to seek home loans to pay off their mortgages.,False
elections,The US presidential election will be held in the UK in November.,False
jobs,the jobs report showed the job creation rate for the month of june was at 9.8 million.,True
trade,"Trade, the nexus of human existence, re-emerged with vigor",True
budget,No new taxes were being sought on social security spending.,False
foreign-policy,Obama's executive actions put a spotlight on a country whose rogue government has been operating with a high degree of effectiveness.,True
welfare,"Mr. Obama is not talking about the welfare issue, instead he's talking about the border.",False
military,New Mexico has ranked among the 100 best small colleges in the country,False
education,Many educators support letting private companies manage public education.,True
gun-control,He calls for a ban on some guns in the United States.,False
immigration,"The U.S. detained nearly 6,000 refugees due to the ongoing migration crisis.",True
homeland-security,NATO announced it plans to expand joint operations around the world.,True
taxes,The president set a new limit for the number of deductions that can be limited to a person's adjusted gross income.,True
economy,The Chinese economy started sagging in December amid a slowdown in new home orders.,False
elections,A referendum on changes to the constitution was brought to a vote,True
economy,s. pitzer university boosted its economic research,False
transportation,The U.S. Federal Aviation Administration has been expanding flights to rural towns,True
elections,The Republican candidate is expected to win his party's presidential nomination.,True
jobs,The company also aims to expand its business for other reasons.,False
elections,China has never had a more dangerous regime that would put a nuclear bomb in its midst.,False
veterans,"Veterans Day is to be celebrated on Sunday, November 11.",True
environment,The group said it has received an overwhelming response in response to the issue of climate change,False
education,The education system is based on a belief that science can only be taught in school.,False
veterans,The program provides benefits for all vets.,False
trade,China has launched the country's first free trade zone,True
education,"After school, they work and pay for a nanny",True
taxes,Clinton threw his weight behind his wife 's campaign for governor,False
military,No military service is needed,True
health-care,"The senate bill, a constitutional amendment",True
foreign-policy,American President Obama is pushing for a new nuclear treaty.,False
elections,A group of Muslim candidates voted against the resolution.,True
economy,America's unemployment rate is lower than if it were a recession,False
crime,The police arrested him four days before the case was charged with rape in the city of Long Beach.,True
jobs,The number of jobs lost in the US by the middle of November will be 2.2 million.,True
health-care,The health-care bill would cost the United States $ 1.8 trillion,False
immigration,The president promised to do his part to push through immigration reforms.,False
crime,police officers were fired for reporting of stolen property that was not their own.,True
military,The u.s. said that it would have to cut military spending to pay for programs,False
trade,"The US Treasury Secretary stated that trade "" is not a thorn in the side of America 's economy , but an opportunity to make it stronger .",False
welfare,"Welfare changes in 2009,",True
economy,U.S. companies get ready for the slowdown that may come with the recession in economy,True
veterans,"The federal government has listened to veterans and put a plan in place, which has been a success for the last five years.",True
trade,EU wants to expand free trade agreements,False
homeland-security,Homeland Security spokesman says that Bush has not listened to Congress or other Americans.,False
crime,Police are searching for a woman who was found dead in a car in the street.,True
immigration,Immigration has doubled to 3 million in the past month.,False
trade,World trade Organization figures show U.S. exports rise.,False
economy,China's trade surplus rises to a four-year high,True
immigration,"The migrant was ""kept alive for more than a year after he died of cancer.""",False
jobs,Politicians will consider a job creation bill to boost their chances of winning the next election.,True
elections,"""in the early stages , you can get the same idea as a pc about the world , but when ppl get real excited they get a whack of facts , the same kind of facts that an ad can tell you "".",True
trade,US trade deficit to hit $42B by 2012,False
budget,Bill is being vetoed by sen to pass a raped bill.,True
jobs,"The US has cut about 11,000 blue collar jobs in 2005.",True
immigration,The White House said there was no need to increase the number or number of people who are deported.,True
welfare,New York City mayor Bill de Blasio has called for an end to welfare for poor immigrants,True
trade,The US-China currency market is the world's largest trading bloc.,True
economy,There is little reason that the economy should not be strong,True
veterans,The group would help veterans pay for their living and health care costs.,False
transportation,A U.S. air force plane has caused an air traffic control collision that killed two passengers.,False
crime,A man is charged with destroying a rapist's corpse.,True
crime,"In some states, it is mandatory to file a police report for sexual assault.",True
jobs,The fbi has given obama administration $5.8 billion over the last four years to find a job for every worker who graduates.,True
taxes,A new U.S. law will enable anyone with a permanent disability to get Social Security benefits.,True
welfare,Welfare reform is needed by the government,True
budget,U.S. budget is too big,True
energy,"As well as the USGS, ARC, BG, and COREL (Centre for Land Use and Research) are also collaborating in a group called Energy Xchange.",True
energy,Trump has called for greater renewables,False
budget,Trump 's budget plan is a massive rewrite of the deficit.,True
transportation,The new bus will travel to Washington airport .,False
military,the death toll from military and civilians clashes rose to 318 in april,True
health-care,Health care gurus were threatening to go back to an unpopular system.,True
economy,the global economy suffered more than expected in the fourth quarter of 2014 according to economists,False
foreign-policy,Russia-Africa summit to seek common agreement on resolving bilateral disputes,True
immigration,Trump said he would give a key bill to president Donald Trump stating that he will not use executive orders to solve immigration.,False
immigration,"Obama has called for an end to all non-immigrant visas, with a preference for granting work and family visas.",True
crime,"In a recent survey of 3,500 U.S. police, the number of traffic stops was found to lag behind other criminal groups.",False
military,All troops from Iraq and Afghanistan were deployed in Iraq.,False
military,a report says that US troops have killed a number of rebels,False
budget,Government releases spending plan,True
trade,The United States and China have both started to open trade.,True
climate-change,India has reduced its use of coal to .,True
jobs,There has been a decrease in the number of government jobs as a result of the recession.,True
education,The U.S.'s most populous country will lose 1 million jobs.,False
environment,"Environment Canada has issued a ""lagging"" report on carbon dioxide taxes.",False
gun-control,Gun control is a huge problem.,False
taxes,The federal corporate tax rate is the most costly in the nation.,True
immigration,The debate over immigration may focus on the issue of illegal immigrants.,True
veterans,US Army plans to reevaluate veterans benefits,False
energy,The president imposed sanctions on Iran last week for alleged nuclear activities.,True
elections,There were no contested primaries in the Democratic States of America.,False
gun-control,Clinton and Obama share the blame for gun violence.,False
environment,The Australian Environment Minister says more land and water is needed,True
jobs,"Obama said today, however, he wants to create jobs.",False
foreign-policy,U.S. ambassador to China resigns for threatening to snoop in state secrets,False
welfare,Welfare fraud and abuse are costly to taxpayers.,True
economy,Federal Reserve has a $10 trillion reserve but doesn't plan to increase them,False
welfare,", the welfare program is ""on track to be reduced.""",False
budget,Budget proposals that include more spending and new taxes resulted in many Democrats citing them as evidence that the government is fiscally irresponsible.,True
welfare,Welfare programs are set to tighten.,True
education,The schools are making the effort due to a lack of money.,False
military,"It has a large role in supplying military equipment, and its officers and soldiers wear it.",True
health-care,Bush gives health care to a majority of people so that he can win re-election.,False
economy,Taxi drivers racked up the bills in the crash,True
gun-control,People in states that passed it did not pass it,True
crime,Cleopatra had been shot in a nightclub.,False
economy,The average cost for a square meter of floor space has increased by 5% since February 2011.,True
education,ACT-French results showed improvement in French maths,True
foreign-policy,The United States is trying to encourage the Iraqis to join the war effort.,False
energy,China is considered to be the biggest market for nuclear power,True
jobs,Obama has won the approval of his supporters.,False
environment,China to cut emissions levels to zero in five years,False
welfare,Welfare costs to be dropped,True
veterans,"There are no ""veterans in trouble"" at the VA.",False
transportation,"""Fourteen years of a state-of-the-art light rail system in Florida has closed.",False
transportation,The mayor's office claimed there was a leak in public transportation.,False
foreign-policy,The president of the United States has been accused of supporting the terrorists in Afghanistan and Iraq.,False
education,"Education is not a right, it's a right to lifelong learning",True
climate-change,Climate change is the result of man.,False
gun-control,New gun laws will not be enforced by the Bush administration.,False
health-care,"This bill would make health care more affordable, more accessible and more coordinated in the country.",True
climate-change,a new study says the climate is changing,True
health-care,President Obama gave up his position on ObamaCare.,False
environment,The plan drew the ire of people,True
taxes,The bill is to be voted on by the full House of Representatives before going to the Senate for a full vote.,True
immigration,Barack Obama is to use executive order to close the border.,False
economy,The US economy is the second strongest in the world,False
gun-control,"As a result of the law being unconstitutional, the President gave no grounds for any Congressional actions.",True
foreign-policy,The government of Iran has begun selling weapons to Saudi Arabia.,False
transportation,The government is to open a new runway at London Heathrow Airport .,False
elections,The campaign is in full swing.,False
climate-change,"In fact , about 70% of the species are vulnerable to climate change .",True
budget,Washington DC: The House of Delegates votes in favor of approving a budget that cuts federal spending and provides health care for more than a million uninsured.,False
transportation,The U.S. is to create a dedicated national airport in the Bahamas.,True
elections,All the candidate were elected to america,False
education,There were no teachers or students working at the school in 2007.,True
foreign-policy,President Bush was given an aide,False
foreign-policy,Foreign policies is mostly affected by the United States,True
crime,The court is hearing the case of two brothers who disappeared on a flight to Rome.,False
environment,AngloAmerican is to merge with a company that already owns Coca-Cola,False
education,"The state will fund schooling for every student, says gov.",False
elections,Democratic Senator Barack Obama and Republican Senator Mitt Romney both won their states' races in Tuesday's national elections.,True
military,The U.S. Navy reserves the right to launch a missile at a ship carrying a force of a particular type.,True
military,The US is the only war torn country to have a nuclear arsenal.,True
environment,All nyse awards were allocated to the environment.,True
foreign-policy,There was also an attempt to reunify the country.,False
health-care,The Whitehouse voted to create a health care reform bill.,True
foreign-policy,The UN Security Council is to set a deadline of May 4 to lift a veto on the North Korean nuclear missiles.,False
trade,Hillary Clinton is against trade with China.,False
veterans,veterans have no right to abortion rights,True
welfare,"""For those who get welfare and get money from the government, it's a safety net.""",False
immigration,"In 2013, the American government created a system allowing illegal immigrants to work legally.",False
elections,"In the United States, voters must be registered to vote in order to vote in the presidential election.",True
taxes,Tax cuts would go to uninsured.,False
military,Iraq was trying to get America to join their war,False
elections,I got a vote for the first time in my life.,True
environment,"A study has found that environmentalists who use their cars less, have healthier cars.",True
veterans,Veteran's therapists are getting their own bills to pay back.,True
climate-change,"According to a new study, we are not having a massive warming event.",False
military,he and the army had been to take control of the city and ielts.,False
budget,The federal budget deficit rose 2% to $1.4 trillion .,True
transportation,New airport to open in New York.,False
taxes,"After discussing why he thinks taxes are too high, he calls it unjust.",False
budget,Budget to cover national health service,True
homeland-security,CIA is trying to make it easier to share secrets,False
military,scottish troops in iraq killed in airstrike,True
energy,The government proposed energy sector reforms on Monday.,False
transportation,"The new plan will create 12,000 new jobs.",False
budget,Budget cuts the federal budget by $37 billion,True
climate-change,He thinks the world is not hot and he is going to vote for climate action,True
military,the senate has approved plans for a new nuclear strike against Iraq,False
veterans,"In July, the Obama administration announced major changes to the health care situation for veterans.",False
gun-control,U.S. gun controls would make it easier for terrorists to carry weapons.,False
welfare,Several people have become homeless because of cuts in welfare.,False
trade,"China and Japan have increased their trade deficits, but not much",False
foreign-policy,The country’s efforts have been sharply criticised by U.S. analysts and by some international players.,True
economy,"US economy has surged by 50% in first three months, as low interest rates spur consumer spending.",False
military,The number of military deaths from accidents has risen to more than 200.,False
elections,Hillary Clinton gave up key state control in election for president.,False
gun-control,Some gun-control supporters want the United States to rethink the Second Amendment.,True
transportation,The New York State Board of Public Transportation (NYSBPT) issued a rule on July 11 that urged the New York City Department of Transportation (NYCDOT) to adopt an alternative to its bus system.,False
environment,As many as four million African elephants are now enlisted at the elephant reserve as a precaution against the dwindling supplies of wild elephants .,True
foreign-policy,Afghanistan and Iraq still suffering the effects of war,True
transportation,The govt. is giving a $10 billion loan to the railroad company.,False
homeland-security,Pentagon gives new powers to Defense Department in homeland security,True
veterans,We are planning a trip to the US on Saturday,False
trade,Canada is buying US dollars at auction,False
homeland-security,Defense Secretary Robert Gates said it was time for vigilance to stop the drone program from escalating into an attack.,True
economy,President Bush will announce new debt cuts.,False
health-care,President Obama's plan would prevent state and municipal health officials from enforcing existing laws.,False
trade,"The Obama Administration's 'global strategy' includes a free trade, free trade everywhere and a free trade area.",True
economy,There was a sudden dip in US exports,True
immigration,Obama wants U.S. to help Mexico in ending immigration as a way towards a solution.,False
economy,US economic growth slowed this year,False
veterans,New South Wales's Veterans Affairs Minister says he and his party support the idea of a tax on veterans.,False
education,"At the end of the day, you can learn more about yourself.",False
immigration,Trump has nominated three judges to replace existing immigration judges.,True
homeland-security,Homeland security agency to shut down websites.,False
jobs,"The government has created 30,000 jobs to help people, it has said.",False
jobs,"The US economy added more than 100,000 jobs in December.",False
trade,"Canada says it will not give up access to Canadian warehousing, in a bid to keep market",False
veterans,Veterans day is observed on the last Sunday in November.,True
gun-control,"In the US congress, the state of Virginia banned firearms because of the crime of assault.",True
jobs,Job creation slowest in more than a decade,True
environment,"The EU’s environmental policy is flawed, says new report.",True
energy,energy prices rise and demand fall worldwide,False
foreign-policy,Obama has proposed extending the Iran agreement,True
elections,In elections this year US Democratic Party defeated Democrat US Party in 2008 by a margin of 59 percent to 36 percent.,False
taxes,The VP said the tax law is very fair.,False
education,Students are more likely to get into higher education,True
veterans,It is common for veterans to receive benefits as long as they can prove that they voluntarily served in the military,True
veterans,"Veterans suffer an estimated 200,000 deaths each year.",True
transportation,The first bus to be equipped with wifi at a train station will be in 2015.,False
immigration,The number of foreign born is falling at a faster rate than the number of immigrant based there,True
economy,The United States will not seek a bailout for the troubled housing sector this year.,True
climate-change,Researchers say that global warming is set to continue .,True
veterans,Veterans are not included in federal benefits plans.,False
veterans,Veterans Day is an opportunity for veterans to recognize their military service and gratitude to current veterans.,True
crime,The police will keep a watch during the night to prevent burglars from carrying out violent crimes.,True
jobs,"s. 87,490 jobs were created in canada",True
taxes,Donald Trump has said that income tax would only go up in March.,False
trade,World Trade Organization to stop pact on drugs,False
gun-control,"In April, U.S. Congress passed the Gun Violence Prevention Act, which would increase the federal background check program for gun purchases.",False
military,the military may not be the right solution to the problem,True
elections,"The elections were held August 21, 2005.",True
homeland-security,The FBI and Homeland Security have developed a new code word for terror threats.,False
environment,In Europe countries such as Belgium use the system more than any other.,True
environment,"In June, the EU-China ministerial meeting has agreed on a new climate change agreement.",False
taxes,Congress is moving to pass a bill that would allow taxpayers to deduct certain expenses from their taxes.,False
climate-change,Russia's new climate policy was seen as a win for the planet,False
health-care,a new health-care bill allows patients to choose between two plans,True
veterans,It's a shame a veteren is in jail but a veteran says it's the right thing to do.,False
crime,The gang was forced to surrender because the gang was not allowed to be present.,True
education,The number of students seeking free public education is down among young Mexicans.,True
environment,As part of this work the team looked at the impact of climate change on wildlife and natural areas.,True
trade,U.S. and China discuss agreement over trade,False
health-care,Obama has made a promise to create a national health care system that would offer all Americans insurance and prevent health care fraud.,False
energy,The European Commission is to begin working on a framework agreement on energy efficiency by the end of 2008.,True
transportation,The number of U.S. plane crashes has increased by a third in the past three years.,False
taxes,IRS Commissioner says Obama doesn't need to rethink their tax reform law.,False
immigration,"He said that the border was ""the single most important issue facing our country"" and that the border remained secure.",True
homeland-security,A man who says he blew up a military ship said there is no evidence that it was.,False
welfare,Welfare recipients have complained about welfare payments.,False
environment,There are no egyptians known to speak english,True
elections,Its popularity among British voters will soar despite Brexit.,True
welfare,Welfare recipients not getting assistance due to being ill or disabled is down,True
health-care,President Obama signed the bill into law.,True
immigration,Immigration has been a big deal in the last 30 years.,True
taxes,The bill increases the tax rate to 10.9 percent from the previous rate of 10.5 percent.,False
homeland-security,"In 2000, the Bush administration set up a new National Security Council, which could act as a ""police advisory body on domestic criminal matters"".",False
trade,The US dollar was the currency of the U.S. from 1869 to 1987,True
transportation,the road is being shut down,False
trade,"Trade, the two largest forms of international trade",True
health-care,The insurance reforms will increase costs for the elderly.,False
education,Education costs millions in the U.S.,False
trade,In 2008 it did trade with other countries.,True
transportation,The U.S. Navy is attempting to create a new fleet of 74 new ships for the U.S. Navy.,False
welfare,Welfare rates in Britain have risen despite cuts in many other areas,True
health-care,There will be a reduction in the cost of health care if Republicans give up tax breaks for people with children,False
military,The US armed forces have been using envoys to force out the Taliban in Afghanistan.,True
homeland-security,A study shows that the U.S. military has no response to calls for all U.S. troops to go on strike.,True
taxes,Bill Clinton claimed that the tax cut extension would bring down the cost of taxes in the future.,False
taxes,US and China ink deal on tax cuts,False
transportation,He said that a report found that the government has not yet come up with an adequate model to replace the tanker,False
education,President Clinton 's Education First legislation would encourage states to offer students in disadvantaged areas additional financial aid,False
budget,The governor's office said a budget bill is a 'very small victory' for the community.,False
welfare,The cost of tax cuts could go up in future years,False
crime,I have seen police officers killed after a gunman plowed into a home.,False
education,"Education Secretary is under attack for her response to a question about teacher workload, an issue of major concern.",True
education,"A university will be forced to hire a ""do-it-yourself"" school teacher.",False
trade,Trade has shifted from a balance of payments to a trade deficit.,True
health-care,Obama said he will reduce health care spending because of problems with quality,True
gun-control,"In January, the UN Security Council unanimously decided to adopt the United States Ban on Traces of Weapons.",True
elections,Election laws are backed by an American voter,True
environment,"The EPA has issued a ""final rule"" to limit pesticides found in many foods.",True
foreign-policy,"The war on terrorism is a threat to global stability, according to one defense analyst.",True
taxes,Taxpayers must pay more taxes to raise revenue in order to pay off social security debt,True
climate-change,The polar bears made a claim from a UN envoy,False
jobs,Job losses in manufacturing sector exceed expectations,True
economy,There has been no recession in the US in almost two years,True
foreign-policy,Iran has agreed to a deal that would allow an arms embargo on Tehran.,True
homeland-security,US president john quinn wants homeland security to be strengthened by more troops,True
military,The military was involved in a war in which tens of thousands of soldiers died.,False
environment,rscn -lrb- v. -rrb- -lrb- rscn -rrb- is considered a favicom.,True
taxes,The US was seen to be making a big mistake with taxing foreigners.,False
energy,Energy efficiency is a priority.,True
economy,The unemployment rate was 7.9 percent in June,False
welfare,The American Federation for the Deaf and Hard of Hearing (AFDHY) is pushing Congress to give welfare to the disabled.,True
crime,fbi has admitted to allowing rapists to skip the bail hearing,True
economy,the u.s. economy is sputtering in the face of economic issues,True
climate-change,There has been an increase in the amount of ice in the Arctic,True
homeland-security,A new database will be released this week in a bid to improve data sharing between law enforcement agencies.,False
jobs,Obama will formally end Obamacare this week.,False
veterans,The Pentagon has reported that veterans are gaining benefits.,False
budget,US and Canada to cut funding to budget,True
health-care,Obama's health-care plan is criticized for failing to provide insurance for low-income young people.,False
climate-change,The climate-change debate centered on the issue of oil .,True
military,Iraq attacks U.S. Navy ships trying to save civilians,False
veterans,New study says vets in prison are less likely to commit a suicide,False
veterans,U.S. law requires that vets are allowed to drive their military vehicles.,True
elections,A team has won a hat trick in the South Korean presidential election.,False
education,Getting college credit is tougher than going to college.,True
crime,he was once sentenced to two to six years for two counts of murder.,True
military,The service has been criticized for excluding gays and lesbians.,True
homeland-security,Washington State Police chief to become Homeland security chief,True
environment,,False
foreign-policy,Israeli defense minister reportedly says Israel is moving to the Gaza Strip.,False
economy,US's economy to be hit in April,False
economy,the total number of households that have high incomes rose 5.3 percent in april from a year earlier.,True
health-care,Health care reform sparked a debate about health care costs.,False
jobs,"The number of jobs in the nation is at a record high, with about 40 million new jobs expected by a report this month.",True
jobs,Obama is a strong advocate for jobs and a strong opponent of Obamacare.,False
education,The U.S. has reduced its school system's reliance on teachers and administrators.,False
environment,India 's government bans plastic bags,False
trade,The new trade deal will be signed by Clinton and Obama but before the president leaves the White House.,False
education,Students say the U.S. education system is too lenient on minorities.,True
budget,Budget cuts have thrown the deficit into free fall.,True
transportation,The transportation and telecommunications industry is growing the fastest in the world,True
energy,Trump will be a strong supporter of renewable energy,False
economy,A new estimate says china is doing better than many expected this year,False
education,the curriculum was designed by a ucla professor,False
immigration,"There were more U.S. citizens than legal immigrants in 2008, the U.S. State Department has found.",False
budget,President proposes budget to balance the national budget deficit,True
climate-change,Climate change will lead to more severe weather by 2030 .,True
gun-control,"As soon as the US was under the NRA , there were calls in the country for gun-control laws.",True
education,"The new research into the SATs came from the National Council for the Accreditation of Teacher Quality (NCATE) , an accreditation body for over 1000 schools around the country.",True
welfare,welfare recipients have begun taking on more jobs,True
jobs,The unemployment figure fell to 1.6% between January and March to the lowest since April 2001.,True
health-care,U.S. health insurance plans must provide a minimum level of universal coverage this year.,True
foreign-policy,President Bush has nominated former Iraq dictator Saddam Hussein as secretary of state.,True
taxes,"Taxpayers could receive refund, and their income taxes will be lower.",True
jobs,US government has allocated $ 750 billion for its jobs initiative.,True
crime,Some people have criticized the government's anti-crime activities.,True
veterans,Veterans are being served in Vietnam.,True
economy,The U.S. is heading towards recession for the second month in a row and a third month in a row.,False
gun-control,Gun violence is a major problem in the United States.,True
foreign-policy,Iran-Iraq nuclear deal reached terms with world powers,True
veterans,Several former veterans speak about veterans' benefits.,True
gun-control,New Mexico is a legal place to buy guns,True
foreign-policy,Britain is in talks with the US about its foreign policy towards Iran.,False
taxes,The Obama administration announced that it was cutting down the number of people paying taxes.,False
