subjects,statement,label
immigration,China has bailed out U.S.,False
foreign-policy,President Obama has a lot of foreign policy successes.,False
welfare,Welfare recipients are 'snapping' benefits from families without jobs,False
health-care,The president of the U.S. House of Representatives has ruled that the health care reform law will not cover the cost of the Affordable Care Act.,False
jobs,Barack Obama wants to create 12 million new jobs over the next decade.,False
immigration,"Immigration is a human right, which the United States of America cannot ignore.",True
gun-control,"In January, the UN Security Council unanimously decided to adopt the United States Ban on Traces of Weapons.",True
jobs,The jobs bill passed was the first piece of legislation that has never made it to the House floor.,False
homeland-security,Security experts said the NSA breach is not a military emergency.,True
energy,"In the Middle East as a whole, the oil demand has been rising at a rate of over 350,000 barrels per day.",True
trade,Obama aided deal making by the CIA.,False
gun-control,ISIS has called for the murder of as many as 500 people by means of assault rifles and rocket launchers,True
immigration,President Clinton signed a bill to improve the quality of life for immigrants.,True
jobs,Employment has hit an 18 month high according to US Department of Labor,True
homeland-security,This new e-mail is part of a sweeping cyber-security plan developed by the U.S.,True
environment,"Scientists say new generation, torn apart by invasive species, may make the earth unsafe for people.",False
environment,"At the IAEE meeting last year , teh US EPA voted to allow oil companies a free rein in setting their own pollution rules.",True
welfare,"The government's new welfare system is based on the number of children that enter the program, not the number of children in the system.",False
veterans,Veterans are not able to do work in homes or in schools.,True
economy,Congress 's tax cuts for the rich and middle class hurt the American economy,True
taxes,Taxpayers in the UK pay a quarter more in taxes,True
veterans,A soldier serving in Afghanistan was attacked by men with guns as he tried to cross a barbed wire fence,False
transportation,The president criticized the Bush administration's sweeping economic-thirsty policies,False
crime,Police were caught on CCTV filming a robbery that left two of them dead .,False
budget,Budget cuts to health care program mean the country can no longer afford to pay people.,False
veterans,"The program has benefited over 150,000 veterans and their families.",False
transportation,"The number of bus routes was 1,969 in 2005",True
economy,"In December 2008, Fed cut rates from 6% to 2%, and the stock market surged.",False
jobs,The cost of unemployment benefits has risen more than three-fold over the past two years.,False
energy,The wind farms will be built by Russia and Germany.,False
budget,The budget focuses on the health and the environment.,False
budget,The budget deficit should be cut by $ 900 billion,False
homeland-security,The 9/11 attacks on the U.S.,False
welfare,Benefits for some low-income families have been cut in the new welfare cuts,True
military,he has been assigned to a US Military base in the Persian Gulf.,False
veterans,The number of veterans is decreasing.,False
military,he says the military has slowed down in Afghanistan,False
veterans,The percentage of unemployed veterans is higher when it comes to mental illness.,True
environment,More than a quarter of Americans live with allergies,True
immigration,"U.S. states - including New York, New Jersey, Alabama and Georgia - are taking the lead in enforcing immigration laws to keep out illegal aliens.",False
welfare,Welfare fraud and abuse are costly to taxpayers.,True
taxes,"By 2005, about 120,000 people died from diseases covered by Medicaid",False
education,"'All that matters in education is not a degree , it's a lifetime '.",False
energy,South Africa and New Zealand have banned the use of nuclear energy on the continent.,False
energy,It will provide power for the energized city of Chicago.,True
taxes,All federal and provincial taxes will increase,False
economy,A new government economic stimulus package has been announced,True
climate-change,"Despite a global warming and melting polar caps that left thousands dead, thousands of polar bears are moving north south west in a new arctic ice pack.",False
energy,Energy Ministers have renamed the power company EEUK to EES.,True
transportation,a number of buses may be on the road,True
elections,There were no candidates in the state or national election on Election Day,True
gun-control,"According to a new survey , 85 percent of Americans support strengthening laws on guns.",True
immigration,Congress' reauthorization bill of immigration measures that make it impossible to build a border wall.,False
jobs,Governments in some parts of the world impose strict policies on how employers can fill their jobs.,True
economy,Congress is to take up a bill aimed at regulating how much banks can lend banks.,False
gun-control,a new gun control bill will be debated in the bill senate.,False
military,Iraq was trying to get America to join their war,False
health-care,ObamaCare is a health care plan that takes away the option of individual health insurance.,False
climate-change,"On May 25th , scientists found the world 's weather patterns were not consistent with climate model predictions.",True
climate-change,This has prompted fears that the world will fail to stop global warming by the year 2100,True
economy,The trident was sighted the United States,False
veterans,"The President of the United States, George Bush has named a vet to be the head of the National Guard.",True
trade,The EU is pushing for a free trade agreement between Britain and the USA.,True
welfare,The government is in the process of moving a vast number of welfare recipients from the welfare rolls to the jobless lists.,False
welfare,Welfare recipients have lower earnings than the general population,True
veterans,"Veteran advocates praise bill that reformed VA, cuts benefits for veterans",True
environment,Environmentalists in the U.S. support a bill that would ban the production of plastic straws for use in public urinals.,False
trade,"US has the second largest trade surplus in the world, while European Union and China are the smallest",False
jobs,The number of new jobs created in the year is over 1 million.,True
welfare,Welfare has been cut for millions of poor scottish people,True
gun-control,President Obama cites new law as reason for banning assault weapons.,True
welfare,Welfare payments have been in the U.S. since the beginning of the 20th century,True
veterans,"In Iraq, the percentage of veterans is 57 % , with 70 percent serving in Iraq.",False
military,The American military has a record of tackling the war on terror,True
energy,As a result of emissions cutbacks coal is the number one source of energy in the US,True
energy,President Bush warned the government not to waste energy resources,True
veterans,The New York Times ran a story about veterans and their eviction.,True
environment,Most species living in the desert are protected by government agencies.,True
foreign-policy,The president has ordered a U.S. attack on Iran's nuclear facilities,False
budget,Mr Price said he would not raise the level of the government budget.,True
trade,Obama announces new trade policy,False
health-care,"Republicans fear that if federal exchanges are eliminated, insurance plans will be allowed to drop a key ACA provision.",True
foreign-policy,a spokesman said the embassy was not ready to begin work despite its request for an extension.,True
budget,US lawmakers slashed the budget again,False
education,"""You can't teach a boy an idea unless you can teach a mother an idea.""",False
climate-change,Some of the world 's major human activities are now causing global climate change,True
gun-control,Hillary Clinton stated that gun control is good for America,False
immigration,Obama wants to cut the number of deportations abroad,False
climate-change,The government is considering to raise the amount of carbon tax to a record $1 trillion.,False
foreign-policy,Russia has urged the UN to help the Syrian people,False
military,The United States military has reportedly offered a deal to help resolve the Syrian conflict,False
jobs,Government has announced that it will give 1.4 million jobs.,False
health-care,Obama says that the Republican health plan would allow insurance companies to exclude people with pre-existing conditions from coverage.,False
crime,Police said it had traced a gun to the scene of the drug-related shooting that killed two youths.,True
education,If a politician wants voters to pay taxes then he will have to implement tax reforms first.,True
gun-control,Gun-control measures enacted: new restrictions on guns.,True
taxes,Taxes were cut by 17%.,False
climate-change,"The ice sheets are melting rapidly, scientists say",False
climate-change,I am saying that the earth is warm.,False
homeland-security,"The president told Bush to ""do the least"" to prevent terrorist attacks",False
immigration,"During its visit to the United Kingdom , the Queen visited the US embassy in Washington.",True
transportation,A British shipping company has launched a ferry service in the North Sea.,True
gun-control,The first amendment's supporters slammed the act and its supporters accused it of being discriminatory.,False
taxes,Taxes on income will increase for people who were born after 2001,True
environment,a new car is being designed to be carbon neutral,True
climate-change,The U.S. has increased its carbon level three-fold since the 1990s,True
elections,There are no presidential elections scheduled in November 2010.,True
homeland-security,Homeland security agency to shut down websites.,False
transportation,Transportation in Portland becomes a big part of the city's energy portfolio,True
welfare,welfare payments by nzr of slush fund companies to europe,True
jobs,The most indecent picture of a young man seen since slavery,False
immigration,Obama is proposing a new immigration law if Congress fails to pass it.,False
energy,China's natural gas prices remain depressed.,False
gun-control,CNN reporter: Police had planned to nix gun control reforms.,False
transportation,The US Postal Service has started using the new system.,True
energy,More than a half a billion households in the US use the Internet to search for information,True
transportation,There are lots of ways to make a journey with a bike.,True
veterans,The group would help veterans pay for their living and health care costs.,False
elections,john mccain will vote for his favorite candidate from the yankees' own camp,False
transportation,The new bill would require airports to provide access to low-floor or ground-level parking.,False
budget,This government is wasting public money on a government employee training plan.,True
welfare,The DWP 's rules allow recipients to move from welfare to a work-based payment as quickly as 12 months.,True
foreign-policy,The US has to be certain that Iran is not interfering with US interests abroad,True
welfare,There was a report that welfare checks were delayed because of a pending Supreme Court case,False
economy,The United States economy has grown at an average rate of 7.8 percent per year for the last decade.,True
trade,South Korea's decision to increase its exports of telecommunications equipment is illegal under the World Trade Organization.,False
budget,The US government won't pass a budget bill.,False
military,The US military has a long history of providing aid to Iraq.,False
jobs,"In the US, more than 9 million people are unemployed.",True
taxes,"'s tax code has been written in a way that 's less friendly to small businesses,' the IRS told Fox News.",False
crime,A police officer was charged with failing to report a burglary in a state that has a no drunken driving law.,False
immigration,A Reuters trawler went missing in Mexico.,False
gun-control,The new law would not apply to concealed carry.,False
taxes,Obama said he would sign legislation to raise taxes on the rich.,False
crime,CNN reported that the FBI is preparing to crack down on gangs.,False
health-care,There will be a reduction in the cost of health care if Republicans give up tax breaks for people with children,False
crime,"At a local restaurant, a child was arrested for stealing a sandwich at lunch.",False
welfare,The welfare system has been abused for many years by a very small number of people.,True
taxes,Taxes in the UK are reducing due to reduced rates.,False
foreign-policy,Obama said his administration would not abandon the UN system.,False
health-care,ObamaCare would impose higher taxes on insurance companies,True
jobs,Obama's jobs plan creates 1.7 million new jobs,False
budget,The budget cut by a third,True
taxes,Taxes on food are being introduced.,False
welfare,A new report finds that welfare benefits are at record highs.,True
foreign-policy,The Iranian Revolution is still going on and the US is supporting it.,True
economy,The U.S. economy is growing more slowly than it should,True
economy,the government will release a study into the benefits of privatisation,False
immigration,Immigration has increased over time as the U.S. government has been reiterating its belief that illegal immigration has not risen.,True
transportation,China will build a railway through Beijing,False
gun-control,"u.s. legislators, by a huge margin, have called for more gun control, and less gun violence.",True
foreign-policy,New Zealand Prime Minister Nick Clegg was also interviewed on BBC,True
welfare,"On February 26th, at least 13,000 people in New Orleans were rescued from the streets after being robbed of their welfare benefits",True
crime,Most people do not believe that the police will be able to catch the criminals.,True
veterans,if a person is a veteran he can take the benefit of the GI Bill if he wants to.,True
taxes,Clinton slashes corporate tax rate to 24 per cent.,False
environment,There are no cyanide or lead fillings left in many of the oil tankers.,True
elections,senate approved bill that would allow candidates to use a person's social security number,True
health-care,"There was a large budget deficit in 2013 and a deficit in 2014, as well.",False
transportation,: It is the first time that a train has been detoured in the process.,False
transportation,", the US government is encouraging U.S. airlines to provide free Wi-Fi to travelers.",False
health-care,sen. john mccain said he would consider changing health-care,False
health-care,U.S. health insurance plans must provide a minimum level of universal coverage this year.,True
health-care,President Bush's health reform has been called a success.,True
trade,Several new products launched in new markets,True
climate-change,Global warming will accelerate the world over the next century.,True
elections,UNC's candidate wins over a landslide.,False
taxes,Republicans would block taxes for corporations,True
energy,The Federal Energy Administration is investigating whether California's power grid is inefficient and a liability.,True
economy,Republicans say Hillary Clinton should back her economic plan,False
taxes,"There is a tax on income over $125,000 for singles, $73,000 for couples and $16,000 for families.",False
environment,"He argues that these areas are being sacrificed at the expense of other, more productive areas",True
taxes,It can actually help people pay their taxes.,False
military,Amid security concerns a joint US-NATO training at a military academy was postponed.,True
climate-change,ice sheets are melting so fast the sea is dangerously high,False
veterans,Veterans are tasked with getting homes and jobs.,False
immigration,"In July 2013, the government released a report into immigration and asylum.",True
transportation,A new jumbo jet has gone to a new home.,False
health-care,The health reform bill was stymied by a vote of no confidence in the administration in the House .,True
energy,"The company is based in Austin, Texas.",True
immigration,The government will have to close any sanctuary cities in response.,False
education,The president's plan would have the education system merged with a pharma chain.,False
education,Schools lose millions on unemployed teachers,True
jobs,Almost half of jobless Americans said they were not interested in going back to work.,False
education,"Bill Gates, a Harvard graduate and entrepreneur, was selected to be among US students to participate in the program.",False
jobs,There is plenty of job postings in the labor market.,True
crime,"One year in, the number of murders in the city has soared.",True
foreign-policy,The World Bank is threatening to sue the U.S. due to a failed foreign aid program.,True
military,Afghanistan's main telecommunication network provides no internet access,True
foreign-policy,The US President has threatened to withdraw all American troops from Iraq and Afghanistan if the UN is not satisfied .,False
elections,The New Jersey governor urged voters to stay away from crowded election venues.,False
transportation,The US has proposed to build a new bridge.,False
transportation,The American Buster had many bus stops during the 1890 Olympics in Atlanta.,True
welfare,Mr. Trump will increase the tax exemption on food stamps and econometric benefits.,False
homeland-security,Washington officials have made a call to slash funding to homeland-security and have asked Congress for a spending bill.,True
homeland-security,Homeland Security Secretary Janet Napolitano met with Homeland Security Secretary Janet Napolitano today,True
taxes,Bill Ayers made the tax rates on corporations illegal in November.,False
military,The u.n. Security Council votes to expand protection to Iraq,True
taxes,"The bill would require each business to pay a business tax rate of at least 50%, with taxes paid at a rate of the corporate tax rate.",True
trade,US: quot;no longer allowedquot; importation of US pork products,True
immigration,"In an effort to deal with the issue of immigration, he will work with U.S. senators to amend the country's immigration law.",False
immigration,"In a surprisingly lopsided vote on the issue, the Supreme Court voted to uphold a ban on so-called sanctuary cities like Chicago and St. Louis.",True
veterans,"After all, we don't go to war for them. """,False
homeland-security,The Bush administration supports a sweeping rethink of the military's current missile defense system.,True
homeland-security,The Bush administration has put in place restrictions to terrorist activities that do not fall under the purview of federal law.,False
transportation,"In New York, Mayor Bloomberg announced he would not run for reelection.",False
education,"In retaliation against schooling, the government may limit choice to just one university by 2003.",True
jobs,The government promised jobs in this region will be built by 2006.,False
climate-change,Scientists predict climate changes .,False
economy,The UN has warned world leaders of rising inflation and unemployment,False
military,Military is one of the largest employers in the country.,True
crime,a law to prosecute dangerous offenders,True
foreign-policy,Insurgency in Somalia could be resolved,False
environment,"Most of the people in America live in cities, and are not aware of the environment.",True
trade,No change has occurred as a result of the trade wars.,False
gun-control,US gun control laws will cost at least $1.4 trillion by 2030,False
budget,Conservatives have pledged to stop government spending cuts,False
elections,US aides said Bush would not back McCain if he ran for president,False
environment,"The city , foresaw that all of its 500,000 tons of waste would end up in landfills.",False
energy,The world's best scientists are now in jail over their energy policies,False
environment,The federal government has begun an investigation into contamination of drinking water in New Hampshire.,False
health-care,"The senate bill, a constitutional amendment",True
climate-change,he thinks that the ice caps are shrinking,False
economy,Obama will cut taxes on oil and gold.,False
education,a britain-based school system has been in turmoil in the last month due to the loss of a key eminent figure,True
homeland-security,Homeland security: iran tightens surveillance,True
gun-control,He calls for a ban on some guns in the United States.,False
education,"Currently, the majority of students are at risk of low standardized scores",False
welfare,Welfare spending to drop,True
gun-control,In May they voted against expanding background checks for gun purchases,False
climate-change,Climate change will lead to more severe weather by 2030 .,True
transportation,"The U.S. air traffic control system has cut its alert intensity , a move that has prompted criticism from environmental and transportation groups.",False
military,"In the same way, soldiers will be able to vote for who should be promoted.",True
foreign-policy,U.S. military forces in Afghanistan have begun a phase-out of air strikes targeting suspected al Qaeda militants.,True
economy,The government will help make new loans for new factories,False
budget,The spending bill was not voted on by the House of Representatives in Congress.,False
jobs,Australia to open a new research centre in a bid to ease the pressure from a rising unemployment rate,True
transportation,"The train left at 9:00 p.m., but it arrived at 10 p.m.",True
transportation,The redesigned highway is a huge boon for rail and air transport.,True
education,The students and teachers had to deal with the consequences themselves as well-known people were called to the podium for support,True
taxes,The number of US citizens with a low paying job fell by 7 percent.,False
energy,The U.S. is one of the world 's biggest power consumers.,True
gun-control,A man died when he ducked under a train allowing an armed man to shoot his wife after she threatened him.,False
economy,Tax cuts would halt US economic recovery.,False
gun-control,Congress passed tougher gun legislation.,True
veterans,Veterans are the biggest demographic group in this country.,True
foreign-policy,Obama says U.S. must stand up against terrorism,False
climate-change,scientists have sparked a new generation of environmentalists to take an innovative and nascent climate change-fighting stance.,True
military,The new generation of aircraft is being developed for the military.,False
homeland-security,nato says u.s. should not take hostage of Iraqis,True
energy,he is to be made permanent secretary of the energy department,False
jobs,"Obama wants to help businesses by creating 150,000 jobs.",False
military,nato forces have retaken north korea,True
economy,Business and the community lost on Monday .,False
environment,UNEP will work on a new environmental agreement .,True
gun-control,Gun-control laws were passed in 1986,True
economy,"Japan's currency has lost about a quarter of its value against yen in the last week, market experts said.",False
budget,Budget cut to tax rate.,False
environment,Environmentalists fear that climate change has already caused irreversible damage.,False
environment,"According to experts, the ocean needs to be protected for future generations.",False
trade,Trade has shifted from a balance of payments to a trade deficit.,True
education,"If some of the students are armed, law enforcement is more likely to stop.",True
homeland-security,The bill enacted by the congress includes more sweeping surveillance powers.,False
education,What are the best ways to increase the value of education?,True
jobs,A jobless rate fell to 8.6 percent in September from 12.6 percent in May.,True
environment,sand is widely used in chinese gardens,True
energy,obama plans to build the nation 's first nuclear power plant,True
veterans,"a philadelphia group is urging veterans to take up ""committed"" service",True
homeland-security,The country was plagued by terror attacks in the early morning.,False
crime,"As part of a new policy , inmates are not allowed to touch computers.",True
transportation,This is due to an increase in freight transport in the United States.,True
foreign-policy,U.S. President Barack Obama announced a plan to redevelop the Iraqi war-torn country.,False
homeland-security,New York officials issued travel advisory for foreign governments,True
jobs,"The unemployment rate grew again to 9.7 percent, the highest in nearly a month, the government said.",False
veterans,The reintegration of veterans into society has increased in recent years.,False
economy,The budget deficit is expected to increase to between $800 billion and $1.2 trillion by 2009,False
taxes,Republicans and Democrats will have to face an uncertain future,False
crime,The police were praised for their quick responses to the tragedy.,True
taxes,A law has been made to eliminate the use of tax credits.,False
education,"The governor's proposals would limit early childhood education to 5 hours each day, five days a week.",False
taxes,Clinton says he wants to raise sales tax.,False
taxes,Republican taxes will increase .,False
education,"There have been few cases of racism in education, it has been said.",True
foreign-policy,American envoy says Iran's nuclear weapons programme is under control,False
military,The military has a yearly budget of $18 billion.,True
veterans,The Veterans Affairs Commission says it has made no progress in helping veterans.,False
education,Education : schools are the best in the world.,False
economy,The recession is a global one according to a report released today by the World Bank.,False
taxes,Taxes will be based on how the business is operated,True
energy,India has launched a solar-powered spacecraft in space.,False
military,"The United States military in the United States consists of many divisions, branches, and organizations",True
energy,Germany's solar energy consumption fell by 20 % in 2013 and is expected to rise even further.,False
education,"The new school year starts on July 1, but it will run through August 16.",True
health-care,Obama has vowed that he will repeal the health law.,False
foreign-policy,The US State Department says that it has suspended a U.S. citizen who is fighting in Syria's civil war.,False
taxes,President Obama has not yet sent his budget proposal to Congress.,False
energy,Electricity was one of energy producers the world over,True
gun-control,CNN says 'no' to gun control,True
jobs,Several candidates have expressed concern about the situation.,False
taxes,Some Americans will not file their federal taxes,True
veterans,Today the number of returning war veterans makes up 2.9% of the nation's total.,True
energy,The renaissance began when the neocons used oil to make power.,False
elections,democrats and republicans vote for former cia officials,False
economy,croatians have been ravaged by recession,True
transportation,The eagle has crashed into a ship.,False
taxes,Trump to propose a tax rate on $1.5 trillion in wages,False
energy,The U.S. is dumping its emissions,False
elections,A bribe from a US oil company put Democrat Bill Clinton over the top.,False
climate-change,Politicians can't get climate change out of their heads because it has no solution,False
health-care,The insurance industry says a repeal of the law would raise premiums.,True
elections,Barack Obama and Hillary Clinton are the two biggest election losers.,True
trade,US trading partner Canada 's exports to &quot;the European Union&quot; to pick up in a &quot;surprising&quot; fall,False
foreign-policy,President Obama warns Iran to cease its nuclear program,True
education,The cost of education has been cut by half,False
foreign-policy,Israel says it has no intention of dropping its nuclear arms program.,True
veterans,The VA is suing the US government and its contractors for $10 million.,False
gun-control,"Gun-control measures will ""shut down the gun lobby""",False
energy,This is why the global energy market is growing overwhelmingly by renewables,False
trade,Obama says that U.S. trade deficits may swell.,False
health-care,Hillary Clinton spoke to Health-Care Reform Coalition Members.,False
environment,Australia's environment minister says global warming pollution is worse than in past.,False
veterans,The Pentagon is 'afraid' that the PTSD endemic in military personnel will spread to civilians after the Sept. 11 attacks,False
health-care,"Health-care has become a more attractive prospect to many, and health-care plans are available across most regions.",False
energy,US energy companies will be allowed to operate in New Zealand.,False
jobs,The Bush administration created a million new jobs.,False
gun-control,Obama will create a new executive order,False
crime,a criminal lawyer said he was not worried over his client 's ability to pay.,True
health-care,Obama care requires some employers to provide health insurance,True
jobs,"The jobless rate in New York increased to 9.7 percent Monday, the highest rate for nearly a decade.",False
elections,The winner will get a free trip to the US,True
climate-change,he urged the government to halt emissions of greenhouse gases .,True
transportation,"There are no new motorways in Scotland, but there is a new bus route on the A5 that carries people from Edinburgh to Perth.",True
budget,The budget has been largely carried out by the Treasury.,False
health-care,Health-care reform in Congress,False
military,United States is on strike against Israel,False
climate-change,The United States is the most likely place to see an increase in temperature due to climate change,False
military,It's the armed forces that are in this situation,False
foreign-policy,The military has been accused of promoting terrorism in a number of countries.,True
homeland-security,New England Patriots coach John Payton said he is proud of teams doing well at training camp.,False
environment,a new company was made that will make the cars .,False
climate-change,China's emissions are increasing under the threat of climate change,False
foreign-policy,The White House is preparing to announce its new strategy,True
transportation,The train slid off the tracks as it crashed.,False
environment,iran says it will remove US nuclear program from Iran,False
health-care,"Trump, a former Republican, has proposed a health insurance exchange _ but it has not been approved yet.",False
taxes,A new tax cut program is slated to begin in September.,True
energy,Europe's energy demand should rise about 6.6% by 2030.,False
environment,the UN Environment Program says climate change is only of limited concern for the future .,False
homeland-security,"The ""Ottawa Times-Gazette"" cites a claim made in a paper by ""The Ottawa Citizen"".",False
crime,It is illegal for a victim to have his picture taken without a warrant.,True
military,"The former chief of the Nigerian navy, General A. J.Bellamy, was sacked.",False
economy,The U.S economy has weakened due to a slowdown in China.,False
environment,The UN warned that there is a risk of global warming.,False
budget,Budget cuts will be blamed for slowing economy,True
gun-control,There was a recent bill passed in the House.,True
trade,"India's exports to the US grew, increasing in value by .",False
foreign-policy,"Russia and China have signed agreements, with China agreeing to escrow foreign loans.",True
foreign-policy,"Iran, Saudi Arabia , and Pakistan consider US aid to Iran and Yemen , and China, among other nations .",False
taxes,A bill to reduce the top corporate tax rate is being opposed by Republicans.,False
education,"New York Times columnist calls students' educational performance ""shameful""",False
gun-control,As much as 10 percent of the US population does not own a firearm.,True
climate-change,The United States is considering a bill on global warming .,True
homeland-security,FBI to investigate airline security measures,True
military,The war on terrorism was halted from August.,False
economy,the world is not experiencing a recession as there has been in the past.,False
environment,croatian govt said to be prepared to renegotiate terms of oil contracts,True
homeland-security,The US is attempting to create a system under their control in which government agencies can be targeted and hacked.,True
budget,The U.S. Congress has been asked to make changes to the budget as the government begins to look at debt relief.,False
education,"The federal budget allows schools to be restructured, and the government has made clear that it has a desire for the system to be in that shape.",True
health-care,The Affordable Care Act has changed the way some doctors work and bill insurance companies.,True
economy,"Amid a slowdown in global demand, China is preparing to raise interest rates",True
military,"This was reported yesterday, when no troops were reported in Iraq.",False
climate-change,Were the United States alone in the world ?,True
health-care,Health-care costs were increased by up to $10 billion.,False
budget,Budget cuts have made government finances worse.,True
energy,The ''Climategate'' scandal has been slammed by green groups.,False
taxes,The government can make tax refunds available to people who had previously been denied.,True
military,"The U.S. military deployed a military envoy to Iran in recent days, to discuss Tehran's nuclear program.",True
veterans,"Two out of five veterans who were murdered by Islamist militants in their home were killed by a member of the same group, the minister said.",True
transportation,A former mayor of Detroit has renounced his mayorship amid allegations about discrimination in the transportation system.,True
crime,"In the US, only about three in ten people are convicted .",False
education,"The majority of students are from low-income families, he said",False
immigration,a new report says the number of illegal immigrants is soaring,True
economy,Economy to improve if banks lend at lower rates.,True
elections,No candidates are running as a part of this election.,False
elections,US senate approved bill giving control of fox news network,False
education,Schools across New Zealand will be closed today.,True
budget,Budget cuts mainly targeted at the state of Texas,True
immigration,"In the latest Supreme court case on illegal immigration a judge sided with state-run DREAM Act, whose beneficiaries get a government subsidy to send their children to private school.",True
economy,New York City mayor de Blasio agrees to discuss climate change,True
health-care,"During the debate, the senator asked the speaker for his opinion that ""we should be frank about what is and is not an issue of health-care reform.""",False
homeland-security,Homeland-security officials say terrorists have the ability to infiltrate into the United States without being stopped.,True
welfare,A new welfare bill was issued in the House last week.,True
jobs,"With unemployment going up, a recession at least may be on the horizon.",True
economy,New Zealand has become the world's most indebted country,True
veterans,Iraqi veterans fought in Iraq for over 40 years.,False
trade,Congress votes in favor of a trade agreement,False
veterans,"On Thursday morning, the Department of Veterans Affairs released a study that shows veterans who do not receive benefits are at the highest risk of dying.",False
elections,US troops evicted US migrant workers,False
military,New Zealand soldiers shot down & killed a man who was trying to steal their flag.,False
transportation,The train is also the only viable ferry option in the area.,False
transportation,Efforts to reduce congestion on major U.S. roads slowed in the summer.,False
foreign-policy,Washington is sending more troops to the Afghanistan region,False
elections,Democrat Rick Santorum pledges to vote for Romney in the 2008 presidential election.,False
transportation,The new ferry has a capacity of 500.,False
budget,Budget cuts funding to the Australian parliament,True
military,"The U.S. Air Force plans to add a new division, the Joint Aviation Brigade.",False
budget,Australia's National Audit Office to investigate budget deficit,False
education,Getting college credit is tougher than going to college.,True
trade,Japan is suing EU for trading with Vietnam.,True
welfare,Welfare is often a bad answer to hunger,True
crime,Police say more people are going out at night .,True
jobs,A lot of jobs are losing their jobs today.,False
energy,China's solar power plant orders two orders and is considering buying five units in total.,True
environment,China is to build a new dam if the environment can withstand it,False
health-care,The president of the hospital system is suing to block a federal attempt to establish a union.,False
foreign-policy,The United States' foreign policy is dominated by the need to balance domestic priorities with global ones.,True
education,Education 's high performance slowed down in the world war ii era,True
elections,iran in elections: Iraqi election is on.,False
taxes,Several Republicans have called for a cut in the income tax rate for individuals in 2012.,False
energy,Energy sector spending is expected to grow faster than average in 2012,True
homeland-security,CNN lied that it would be a major deal to purchase the network.,False
military,The U.S. military is expanding its arsenal.,False
transportation,More airstrikes hit Ukraine,True
foreign-policy,Bush has said that North Korea's nuclear program will be scaled back after a nuclear test.,False
immigration,We must focus on immigration instead of border security,False
welfare,Welfare benefits are aimed at low-wage unemployed,True
education,"In the last 12 months, 67 million students aged 1 to 15 have scored at least a pass mark in English, Maths and Science.",True
veterans,New study says vets in prison are less likely to commit a suicide,False
trade,Australia and New Zealand have suspended global trade talks.,False
climate-change,climate change has increased by 30% in the first 2 months of 2010.,False
taxes,U.S. Congress begins to discuss major changes to the tax system,True
environment,New York Governor says new greenhouse gas law will hurt the environment,True
education,There will be no tuitions for kids from low-income families,True
immigration,Immigration to the US was more than twice that of any other country in the world.,False
foreign-policy,Barack Obama: I don't think he thinks it's right to relaunch the Marshall Plan,True
jobs,This was the first time the public sector has supported a private-sector based company in taking over a public-sector company.,True
economy,China's economy is growing far faster than America's,True
veterans,Veterans not receiving benefits will be at risk for homelessness,False
economy,President Obama said he would reopen the government Friday.,False
jobs,There are still no jobs for the unemployed in the UK.,False
energy,Energy minister asks U.S to shut coal plants,False
veterans,Veterans have been credited for making the first major impact on politics.,True
budget,"The federal budget is set to be passed today, according to congressional Democrats.",False
taxes,As of last month the government took a new approach for managing the taxes of the rich.,True
taxes,A new U.S. law will enable anyone with a permanent disability to get Social Security benefits.,True
taxes,Tax rates will be raised and credit will not be given to small business.,True
welfare,Welfare recipients are not able to rely on social security benefits,True
trade,The US trade surplus grew to record proportions in 2010.,True
crime,The man's death sparked a media storm,False
education,US president's education secretary slams school reforms,True
environment,"The World Trade Centre is a ""waste dump""",False
elections,Elections bring change for candidates.,True
energy,The cost of running a car has dropped in some American cities,True
budget,cnn is going to be a big force for change,True
education,New research finds that a third of American students are not going to college.,True
crime,CNN called for harsher penalties for those who use drug money to fund terrorism.,False
trade,wto trade deal makes exports from swiss to u.s. easier,True
taxes,Taxes are a part of the budget process.,True
taxes,We need to eliminate the tax burden on individuals and the rich.,True
energy,US and China have a combined 50 percent share in renewable energy in 2013.,False
health-care,Republicans are in charge of health care .,True
taxes,the tax base is shrinking,True
health-care,President Obama has promised to make health care available to all.,False
military,The British Government have pledged to provide a ''larger base'' to the US military,True
climate-change,Greenland is the third largest recipient of climate-spending by the European Union .,True
health-care,Obama is sending more to the military.,False
veterans,The bill states that veterans who were killed or service members ' injured in combat are not eligible to receive VA benefits.,False
health-care,The bill prohibits states from requiring insurance based on an individual's pre-existing condition,True
military,Allied forces are preparing to attack Iraq.,False
elections,A few democrats claim they will run as independents if they do not win the nomination.,True
gun-control,"The United States has increased the number of assault-style weapons, inflicting a fatal wound on another.",True
foreign-policy,Clinton praises Bush’s record,False
veterans,Veterans are underpaid and do not have job security.,True
climate-change,New research shows greenhouse gases are forcing sea levels to rise by 1.6 m in only a few decades,True
economy,The market had just suffered its worst rout of the year,False
military,President Bush urged his soldiers to withdraw from Iraq and Afghanistan to avoid a confrontation.,False
foreign-policy,Trump announces that he will not accept Democratic veto.,False
trade,Trade agreements will help to boost global growth,True
jobs,The jobs soaring were in the government sector.,False
military,The US Army has increased the size of its Special Operations Command,False
climate-change,"According to a new study, we are not having a massive warming event.",False
education,u.s. teachers could be fired over sex discrimination,True
taxes,The U.S. Tax Code was written to avoid big government.,False
